u,v,key,osmid,name,highway,oneway,reversed,length,geometry,Cost of returning,Edge Betweenness,bridge,lanes,ref,access,maxspeed,tunnel,junction
31194142,733788439,0,127843743,南池子大街,tertiary,False,True,266.61400000000003,"LINESTRING (116.3967322 39.9137696, 116.3967626 39.91317, 116.3967921 39.9121374, 116.3968246 39.911373)",1.6647926655533856,0.002647170076408477,,2,,,,,
31194142,31194141,0,"[588327418, 1031650606, 1031650607]",东华门大街,unclassified,False,False,107.201,"LINESTRING (116.3967322 39.9137696, 116.3961981 39.9137519, 116.3955763 39.9137376, 116.3954762 39.9137334)",1.4456878712419499,0.00026838432635534085,yes,2,,,,,
31194143,266111655,0,30802567,东安门大街,secondary,False,True,44.754,"LINESTRING (116.4003856 39.913891, 116.4009101 39.9139032)",1.8441678870705613,0.003433806338193071,,,,,,,
31194143,733788662,0,1011023638,东华门大街,secondary,False,False,112.544,"LINESTRING (116.4003856 39.913891, 116.3990678 39.9138384)",1.566744066934945,0.001039025602783992,,,,,,,
31194143,733788139,0,173229518,南河沿大街,secondary,False,True,210.724,"LINESTRING (116.4003856 39.913891, 116.4004737 39.9126721, 116.4004898 39.9125116, 116.4005231 39.9119989)",1.7091890225732962,0.02905107227643946,,,,,,,
31194143,733789081,0,173229536,北河沿大街,secondary,False,False,152.934,"LINESTRING (116.4003856 39.913891, 116.400351 39.9143914, 116.4003509 39.914415, 116.4003232 39.9152654)",1.5961899801061519,0.0022467190466412333,,,,,,,
31194144,2056636786,0,25109457,东四南大街,primary,False,False,68.215,"LINESTRING (116.411579 39.9141866, 116.4115511 39.9147997)",1.590952209493337,0.010503013469650956,,,,,,,
31194144,733859836,0,30802677,金鱼胡同,secondary,False,False,290.107,"LINESTRING (116.411579 39.9141866, 116.4107268 39.9141585, 116.4086964 39.9141443, 116.4081784 39.914139)",2.00094517807435,0.0017092298990946983,,,,,,,
31194144,8559502660,0,229774175,金宝街,secondary,True,False,240.947,"LINESTRING (116.411579 39.9141866, 116.4118991 39.9141513, 116.4128104 39.9141279, 116.4132159 39.9141297, 116.4144003 39.914128)",4.893874410032014,0.0037312266064332984,,,,,,,
31194144,266109099,0,723293438,东单北大街,primary,False,True,157.86,"LINESTRING (116.411579 39.9141866, 116.4115978 39.91345, 116.4116151 39.9127672)",2.122669681239955,0.01099828161981649,,,,,,,
31194145,733859146,0,25081372,金宝街,secondary,True,False,158.194,"LINESTRING (116.4203626 39.9142291, 116.4185083 39.9141948)",8.577748879514612,0.009719691484111287,,,,,,,
31194145,8559502659,0,229773673,朝阳门南小街,secondary,True,False,9.394,"LINESTRING (116.4203626 39.9142291, 116.4203817 39.9141459)",5.298544537788883,0.038264327940429485,,,,,,,
31194147,384057956,0,25109457,东四南大街,primary,False,True,51.414,"LINESTRING (116.4114314 39.9174345, 116.4114524 39.9169724)",1.646527917700817,0.02375464268859853,,,,,,,
31194147,9591211179,0,229775895,东四南大街,primary,False,False,591.943,"LINESTRING (116.4114314 39.9174345, 116.4114242 39.917701, 116.4114117 39.9181567, 116.4114051 39.9184009, 116.4113926 39.9188601, 116.4113856 39.9191168, 116.4113682 39.9197514, 116.4113656 39.9198481, 116.4113486 39.9204732, 116.4113478 39.9205021, 116.4113467 39.9205418, 116.4113304 39.9211404, 116.4113293 39.9211805, 116.4113223 39.9214357, 116.4113159 39.9216713, 116.4113102 39.9218804, 116.4112914 39.9225673, 116.4112888 39.9226639, 116.4112863 39.9227568)",1.7708793321173613,0.022087994034302758,,,,,,,
31194147,733859147,0,229775899,灯市口大街,tertiary,False,True,105.251,"LINESTRING (116.4114314 39.9174345, 116.4104908 39.9173611, 116.4103424 39.9173523, 116.4102026 39.9173545)",1.5120797259742866,0.002110113225763454,,,,,,,
31201008,733859830,0,59174460,,residential,False,True,103.013,"LINESTRING (116.4134008 39.9212191, 116.4133937 39.9221455)",1.2970817009542999,0.00026838432635534085,,,,,,,
31201265,1362315799,0,24476184,东总布胡同,residential,False,True,13.464,"LINESTRING (116.4205538 39.910715, 116.4207098 39.9106965)",1.790219527200937,0.0016357394258376652,,,,,,,
31201265,266109235,0,229773673,朝阳门南小街,secondary,True,False,213.15200000000002,"LINESTRING (116.4205538 39.910715, 116.4205815 39.9102272, 116.4206098 39.9098763, 116.4206815 39.9088905, 116.4206856 39.9088008)",6.570280748222916,0.048410048020980805,,,,,,,
31201268,1362315801,0,59174484,赵堂子胡同,residential,False,False,11.35,"LINESTRING (116.4204506 39.912862, 116.4205834 39.9128554)",1.7916894806437715,0.002652861985611718,,,,,,,
31201268,6007826881,0,30802563,东堂子胡同,residential,False,True,332.898,"LINESTRING (116.4204506 39.912862, 116.4185104 39.912822, 116.4165482 39.9128088)",1.7569636067619352,0.0006181845691621005,,,,,,,
31201268,31201265,0,229773673,朝阳门南小街,secondary,True,False,238.89799999999997,"LINESTRING (116.4204506 39.912862, 116.4204876 39.91209, 116.4205201 39.911412, 116.4205538 39.910715)",6.9078920942382345,0.04357523947447106,,,,,,,
31201271,390934174,0,229773670,朝阳门南小街,secondary,True,False,149.746,"LINESTRING (116.420191 39.9170371, 116.4203041 39.9156932)",5.100869294445474,0.03900197055337606,,,,,,,
31201272,1362315804,0,30802555,,residential,False,False,11.54,"LINESTRING (116.4201576 39.9177719, 116.4202929 39.9177705)",1.673528669104021,0.002050240104904048,,,,,,,
31201272,31201271,0,229773670,朝阳门南小街,secondary,True,False,81.756,"LINESTRING (116.4201576 39.9177719, 116.4201808 39.9172466, 116.420191 39.9170371)",13.554699100594496,0.03895614708181579,,,,,,,
31201275,1362315807,0,59174469,南竹杆胡同,residential,False,True,11.471,"LINESTRING (116.4200322 39.9205644, 116.4201663 39.9205724)",1.605100840629188,0.0017301242493344428,,,,,,,
31201275,31201272,0,131710769,朝阳门南小街,secondary,True,False,310.709,"LINESTRING (116.4200322 39.9205644, 116.4200665 39.9198699, 116.4200742 39.9194378, 116.4200927 39.9191009, 116.4201576 39.9177719)",6.5099400602480895,0.028131864964857863,,,,,,,
31331903,324664311,0,170857648,,trunk_link,True,False,44.295,"LINESTRING (116.375946 39.9475266, 116.3754448 39.9476317)",24.401827532341162,0.00024785022353352284,,,,,,,
31331903,1190930363,0,"[33681961, 170857650]",北二环,trunk,True,False,531.745,"LINESTRING (116.375946 39.9475266, 116.3733022 39.9475194, 116.3713536 39.9475139, 116.370435 39.94749, 116.3697089 39.9474796)",44.79897042757953,0.0017731377910348827,,3,,,,,
31331906,1190930453,0,1052911053,北二环,trunk,True,False,301.61,"LINESTRING (116.3980371 39.9477018, 116.3944993 39.9476649)",24.133840325079298,0.0018135575513262509,,3,,,,,
31331978,9671433196,0,"[1052373270, 114917271]",,trunk_link,True,False,294.7109999999999,"LINESTRING (116.429338 39.9096974, 116.4293085 39.9094016, 116.4292657 39.9092431, 116.4291721 39.9090944, 116.4290372 39.9088405, 116.4289307 39.9087086, 116.4288854 39.9085573, 116.4288488 39.9083763, 116.4288461 39.9082919, 116.4288461 39.9081705, 116.4288951 39.9074041, 116.4288917 39.907382, 116.4288166 39.9072941, 116.4287308 39.9072591, 116.4286347 39.9072189)",25.439729749205366,0.0005518269947800149,yes,,,,,,
31331978,1300406491,0,173319137,东二环,trunk,True,False,153.341,"LINESTRING (116.429338 39.9096974, 116.4293901 39.9093524, 116.4294654 39.9083223)",38.58040372287987,0.011981468872821853,,3,,,,,
32387954,336377072,0,723619298,东四十条桥,primary,True,False,36.040000000000006,"LINESTRING (116.4271437 39.9321141, 116.4273044 39.9319861, 116.4274391 39.9318823)",9.365452663297397,0.013567782352919985,,,,,,,
32387957,245145493,0,325120924,工人体育场北路,primary,True,False,147.953,"LINESTRING (116.4286887 39.9322374, 116.4304239 39.9322423)",12.337116575843064,0.0047542572238613474,,,,,,,
32387957,10048650725,0,723619297,东四十条桥,primary,True,False,12.322,"LINESTRING (116.4286887 39.9322374, 116.4286861 39.9323482)",12.081258379977482,0.009077298288464517,,,,,,,
32388118,1860131879,0,25109088,,primary_link,True,False,8.458,"LINESTRING (116.4025943 39.9319029, 116.4026935 39.9319034)",5.170156092047618,0.013125326474222496,,,,,,,
32388118,733859080,0,"[1010380378, 4843675]",美术馆后街,secondary,True,False,379.485,"LINESTRING (116.4025943 39.9319029, 116.4026013 39.9317148, 116.4026267 39.9310333, 116.402742 39.928492)",8.402399534044063,0.01028542402922327,,,,,,,
32615474,331148076,0,30065128,,tertiary_link,False,True,10.808,"LINESTRING (116.3433507 39.9310731, 116.3433517 39.9309759)",1.4605188021025692,0.0019663024565271425,,,,,,,
32615474,1415627422,0,128009694,车公庄北街,tertiary,False,False,15.501,"LINESTRING (116.3433507 39.9310731, 116.3433508 39.9312125)",1.0327954076661237,1.440989671706528e-07,,,,,,,
32615475,9359990033,0,146741494,车公庄大街,primary,True,False,66.218,"LINESTRING (116.3478772 39.9311432, 116.3471058 39.9310744)",14.493121726606951,0.001627309636258182,,,,,,,
32615475,9359990036,0,1014536321,北礼士路,tertiary,True,False,60.817,"LINESTRING (116.3478772 39.9311432, 116.347779 39.9311865, 116.3474505 39.9312039, 116.3473749 39.9312206, 116.3473204 39.9312636, 116.3472909 39.9313479)",15.719645827159145,0.008223511907978398,,,,,,,
32615481,342835769,0,162368410,,tertiary_link,False,True,17.57,"LINESTRING (116.3706008 39.9314618, 116.3706169 39.931449, 116.3707468 39.9313503)",1.5407085970448768,0.0005727213450197595,,,,,,,
32615481,10679301343,0,169221931,地安门西大街,primary,True,False,327.074,"LINESTRING (116.3706008 39.9314618, 116.3701401 39.9314639, 116.368433 39.9314069, 116.3681961 39.931399, 116.3670493 39.9313607, 116.3669376 39.931357, 116.366768 39.931361)",4.938607444612406,0.03378011218104594,,,,,,,
32615484,340247549,0,30748898,旌勇里,residential,False,False,187.369,"LINESTRING (116.3767229 39.9317342, 116.3765707 39.9334152)",1.3712328989102087,0.0002884140827920616,,,,,,,
32615484,342836797,0,235270873,地安门西大街,primary,True,False,128.367,"LINESTRING (116.3767229 39.9317342, 116.3752184 39.9316923)",14.199055387213326,0.04067928253124246,,,,,,,
32618816,1742785935,0,162368415,,secondary_link,True,False,14.659,"LINESTRING (116.373703 39.9466787, 116.3738701 39.9467098)",12.388546432558606,0.01942850349620119,,,,,,,
