u,v,key,osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,Cost of returning,Edge Betweenness,bridge,tunnel,access,junction
69545781,69197073,0,629329063,,,Oglethorpe Avenue Southwest,residential,,False,False,102.08800000000001,"LINESTRING (-84.425488 33.735786, -84.4255464 33.7357858, -84.426592 33.735782)",1.4328810522001938,0.0003378890636997609,,,,
69546582,69215092,0,564407905,,,Vassar Street Southwest,tertiary,,False,False,18.027,"LINESTRING (-84.391897 33.728003, -84.392089 33.727975)",1.0822309614882828,0.002195945331235603,,,,
69546582,5437997623,0,564407921,,,Vassar Street Southwest,tertiary,,False,True,26.771,"LINESTRING (-84.391897 33.728003, -84.3916178 33.7280666)",1.5214579346728716,0.004137761210505311,,,,
69547640,69260714,0,9269918,,,Church Street Northwest,residential,,False,False,94.824,"LINESTRING (-84.426112 33.784209, -84.4263864 33.7842071, -84.4267083 33.7842049, -84.4269926 33.784203, -84.427138 33.784202)",1.4635008383382706,0.00018480487831505502,,,,
69547640,69459053,0,9269918,,,Church Street Northwest,residential,,False,True,99.723,"LINESTRING (-84.426112 33.784209, -84.426043 33.7842095, -84.4258876 33.7842107, -84.4250878 33.7842166, -84.425033 33.784217)",1.667827732986833,0.0004206176012848397,,,,
69547640,69230049,0,9274579,,,Carr Street Northwest,residential,,False,False,190.99599999999998,"LINESTRING (-84.426112 33.784209, -84.4261239 33.7855138, -84.4261253 33.7856512, -84.4261263 33.7857774, -84.426127 33.785851, -84.4261033 33.785924)",1.312882272511564,5.216022164455113e-06,,,,
69547704,69438847,0,"[9266908, 9269925]",,,"['Berckele Street Southwest', 'Smith Street Southwest']",residential,,False,"[False, True]",200.529,"LINESTRING (-84.401678 33.733169, -84.40104 33.733167, -84.400908 33.732856, -84.400912 33.731913)",1.2057719985316422,0.006183594275961537,,,,
69547704,69389347,0,507009475,,,McDaniel Street Southwest,tertiary,,False,False,139.34,"LINESTRING (-84.401678 33.733169, -84.4016684 33.7337399, -84.401657 33.734422)",1.6449482817058092,0.014330960245419909,,,,
69547704,69438850,0,507009475,,,McDaniel Street Southwest,tertiary,,False,True,136.45100000000002,"LINESTRING (-84.401678 33.733169, -84.4016915 33.7324183, -84.4017 33.731942)",1.3975034412957794,0.008288441173580727,,,,
69547863,69515350,0,9269938,,,Penn Avenue Northeast,residential,,False,True,152.68499999999997,"LINESTRING (-84.378379 33.779517, -84.378379 33.7794756, -84.378379 33.779451, -84.3784974 33.7782165, -84.378504 33.778148)",1.546837743931242,0.0001330085651936054,,,,
69547863,69279742,0,644037338,,,8th Street Northeast,residential,25 mph,True,False,66.825,"LINESTRING (-84.378379 33.779517, -84.3777292 33.7795125, -84.377656 33.779512)",4.771515770444249,0.002215657042903602,,,,
69548134,69209295,0,343075601,,,Mayson Turner Road Northwest,residential,,False,False,38.838,"LINESTRING (-84.421816 33.762002, -84.422211 33.762121)",1.5419993214619006,0.004005419810937392,,,,
69548134,69551933,0,9270129,,,Flowers Place Northwest,residential,,False,True,169.413,"LINESTRING (-84.421816 33.762002, -84.4217945 33.7620557, -84.421776 33.762102, -84.4215731 33.7628069, -84.421569 33.762821, -84.421525 33.762973, -84.421511 33.763098, -84.4215102 33.763432, -84.42151 33.763495)",1.5302761498851112,0.0011050082303977642,,,,
69548134,69474374,0,343075601,,,Mayson Turner Road Northwest,residential,,False,True,232.65599999999998,"LINESTRING (-84.421816 33.762002, -84.42083 33.761703, -84.420463 33.761578, -84.420213 33.761478, -84.420057 33.761397, -84.419914 33.7613, -84.419801 33.7612, -84.419641 33.76103)",1.694770292854618,0.004367690745684955,,,,
69549002,69250341,0,561083964,,,,residential,,False,False,295.3980000000001,"LINESTRING (-84.39494 33.760102, -84.3947759 33.7602071, -84.3939039 33.7608006, -84.3941979 33.7611016, -84.3946981 33.7615944, -84.3949844 33.7618894, -84.3951027 33.7619831)",1.4799787775761657,0.0,,,,
69549002,69304657,0,628175270,4,,Marietta Street Northwest,secondary,30 mph,False,False,167.53599999999997,"LINESTRING (-84.39494 33.760102, -84.3949816 33.760176, -84.395055 33.760312, -84.395106 33.760384, -84.395265 33.760581, -84.3953753 33.7606905, -84.395557 33.760871, -84.3959051 33.7612247, -84.3959965 33.7613175)",1.3445520893052647,0.04096493983985599,,,,
69549002,69442121,0,"[1303019384, 1303019385]",4,,Marietta Street Northwest,secondary,30 mph,False,True,133.874,"LINESTRING (-84.39494 33.760102, -84.3949001 33.7600218, -84.3947068 33.7596671, -84.3946868 33.7596298, -84.3944214 33.7591413, -84.3943522 33.7590018)",1.636069553371384,0.03854476620696933,,,,
69549008,69544042,0,9269989,,,Foundry Street Northwest,residential,,False,False,98.181,"LINESTRING (-84.4053339 33.7592473, -84.4042719 33.7592395)",1.7235148127900597,0.0003266078994836138,,,,
69549008,69178113,0,836637834,,,Maple Street Northwest,residential,,False,False,88.812,"LINESTRING (-84.4053339 33.7592473, -84.405331 33.760046)",1.7708640326266971,0.0004179489387820952,,,,
69549008,69324439,0,836637834,,,Maple Street Northwest,residential,,False,True,83.542,"LINESTRING (-84.4053339 33.7592473, -84.405338 33.758496)",1.6515902598290921,0.0002515214408836669,,,,
69549008,69549011,0,9269989,,,Foundry Street Northwest,residential,,False,True,97.256,"LINESTRING (-84.4053339 33.7592473, -84.4055329 33.7592487, -84.4060001 33.759253, -84.4063859 33.759255)",1.8136929883418187,0.00033249108727375503,,,,
69549011,69549015,0,9269989,,,Foundry Street Northwest,residential,,False,True,79.044,"LINESTRING (-84.4063859 33.759255, -84.4072409 33.7592612)",1.7182520537636141,5.858927221934465e-05,,,,
69549011,69178118,0,9278253,,,Walnut Street Northwest,residential,,False,False,89.068,"LINESTRING (-84.4063859 33.759255, -84.40639 33.760056)",1.7164767356038044,0.0005146273030860656,,,,
69549011,69521862,0,9278253,,,Walnut Street Northwest,residential,,False,True,133.332,"LINESTRING (-84.4063859 33.759255, -84.406403 33.758056)",1.7907864154488493,0.0010715892976929412,,,,
69549011,69549008,0,9269989,,,Foundry Street Northwest,residential,,False,False,97.256,"LINESTRING (-84.4063859 33.759255, -84.4060001 33.759253, -84.4055329 33.7592487, -84.4053339 33.7592473)",1.8136929883418191,0.0001290662228600056,,,,
