u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,ref,width,bridge,access,tunnel,junction
12615161,288101517,0,23008625,True,1,Gustav-Adolf-Straße,tertiary,50,False,31.419000000000004,"LINESTRING (13.4304841 52.5517188, 13.4305853 52.5517624, 13.4306382 52.5517846, 13.4307394 52.5518299, 13.4308386 52.5518989)",12.899461801848002,0.0048148363866624255,,5.5,,,,
12615173,16541701,0,4068093,True,3,Wisbyer Straße,primary,50,False,19.458,"LINESTRING (13.4299934 52.5510442, 13.4300719 52.5510151, 13.4300832 52.5510109, 13.4301156 52.5509992, 13.4301224 52.5509969, 13.430239 52.550953)",5.125482477577322,0.005558044614895228,,,,,,
12615173,29419201,0,"[4485729, 1134444723]",True,2,Prenzlauer Allee,primary,50,False,54.370999999999995,"LINESTRING (13.4299934 52.5510442, 13.4299834 52.5510235, 13.4299255 52.5509033, 13.4299102 52.5508691, 13.4297781 52.5505731)",6.580223858985242,0.006559915889706794,,,,,,
16541698,335839627,0,380356156,False,2,Neumannstraße,tertiary,30,True,36.568,"LINESTRING (13.4240817 52.5528431, 13.4241484 52.5527276, 13.424162 52.5527057, 13.424181 52.5526751, 13.4241964 52.5526503, 13.4242702 52.5525349)",1.8901426091352191,0.0007392506238827236,,,,,,
16541698,29420153,0,"[1134444689, 1099361277, 1167560238]",True,2,Wisbyer Straße,primary,50,False,136.735,"LINESTRING (13.4240817 52.5528431, 13.4240241 52.5528497, 13.4238903 52.552865, 13.4238374 52.5528707, 13.4233038 52.5529283, 13.4224541 52.5530205, 13.4222292 52.5530447, 13.4220909 52.5530596)",13.956096465779552,0.0010943896104671916,,,,,,
16541698,29420140,0,"[4631542, 1099361278]",False,2,Neumannstraße,tertiary,50,False,77.438,"LINESTRING (13.4240817 52.5528431, 13.4240646 52.5528962, 13.4240513 52.5529376, 13.4240415 52.5529723, 13.4240364 52.55299, 13.4239133 52.5535318)",1.4803591212527567,0.000273224043715847,,,,,,
16541699,16541700,0,168945514,False,2,Gudvanger Straße,residential,50,False,31.963,"LINESTRING (13.4270855 52.5521876, 13.4271442 52.5522355, 13.4271923 52.552276, 13.4272101 52.552291, 13.4272329 52.5523156, 13.4272484 52.5523333, 13.4272954 52.5523882, 13.4273298 52.5524326)",1.8719132498729583,0.0003184004707309023,,,,,,
16541699,29419169,0,"[1134444696, 1094529729, 1189947684, 1189947685]",False,,Gudvanger Straße,residential,30,True,227.38299999999998,"LINESTRING (13.4270855 52.5521876, 13.4270176 52.5521268, 13.4269898 52.5521014, 13.4269627 52.552077, 13.4261217 52.5513178, 13.4259421 52.5511557, 13.4252708 52.5505498, 13.4251934 52.5504979)",1.831134041387671,0.0003046608631759103,,12,,,,
16541699,1839747262,0,"[25778033, 1134444698]",True,2,Wisbyer Straße,primary,50,False,149.526,"LINESTRING (13.4270855 52.5521876, 13.4272085 52.5521544, 13.4272461 52.5521437, 13.427293 52.5521248, 13.4273855 52.5520874, 13.4278245 52.551913, 13.4279473 52.5518651, 13.4281261 52.5517954, 13.4286016 52.5516099, 13.4289587 52.5514749)",6.897779735082219,0.003652271440881605,,,,,,
16541700,16541699,0,168945514,False,2,Gudvanger Straße,residential,50,True,31.962999999999997,"LINESTRING (13.4273298 52.5524326, 13.4272954 52.5523882, 13.4272484 52.5523333, 13.4272329 52.5523156, 13.4272101 52.552291, 13.4271923 52.552276, 13.4271442 52.5522355, 13.4270855 52.5521876)",1.8719132498729587,0.0010601152633599015,,,,,,
