u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,Cost of returning,Edge Betweenness,geometry,ref,bridge,width,tunnel,junction,access
81832381,181074105,0,"[46936308, 507883621]",True,2,Tomás Manuel de Anchorena,residential,40,False,134.954,6.842742633343884,0.011591413709583427,"LINESTRING (-58.4081756 -34.5980826, -58.4081348 -34.5980094, -58.4080962 -34.5979406, -58.4076286 -34.5970578, -58.4075745 -34.5969747)",,,,,,
81832382,81832381,0,71179542,True,3,Avenida Córdoba,primary,50,False,139.57999999999998,6.900573032147149,0.021161064278996,"LINESTRING (-58.4066509 -34.59806, -58.4067629 -34.5980616, -58.4080624 -34.5980822, -58.4081756 -34.5980826)",,,11,,,
81832382,194442090,0,149823126,True,,Jean Jaures,residential,40,False,177.79,8.480073874151358,0.013390165223179758,"LINESTRING (-58.4066509 -34.59806, -58.4066697 -34.598145, -58.407201 -34.5995929)",,,,,,
81834156,81834158,0,259140709,True,,Ecuador,residential,30,False,125.09299999999999,3.2335684875207287,0.0071605308270887786,"LINESTRING (-58.4024487 -34.5909863, -58.4024772 -34.5911166, -58.4027658 -34.5920377, -58.4027785 -34.5920777)",,,,,,
81834156,82625781,0,533178297,True,,Juncal,residential,40,False,144.239,6.771406054246167,0.011536827933030564,"LINESTRING (-58.4024487 -34.5909863, -58.4023608 -34.5910226, -58.4011705 -34.5915042, -58.4010364 -34.5915615)",,,,,,
81834158,81834159,0,259140709,True,,Ecuador,residential,30,False,95.232,5.402056122348476,0.006984073816162809,"LINESTRING (-58.4027785 -34.5920777, -58.4028094 -34.5921812, -58.4030567 -34.5929029)",,,,,,
81834158,107932467,0,259140710,True,,Beruti,residential,40,False,61.276,3.4398091628111764,0.0030861857829516735,"LINESTRING (-58.4027785 -34.5920777, -58.4028549 -34.5920454, -58.4032104 -34.5918018, -58.4033034 -34.5917381)",,,,,,
81834159,81551258,0,533349712,True,,Arenales,residential,40,False,119.16,5.474964587242766,0.0028987593815222572,"LINESTRING (-58.4030567 -34.5929029, -58.4018599 -34.5933245)",,,,,,
81834159,444616163,0,259140709,True,,Ecuador,residential,30,False,141.343,5.377365753220189,0.006138222808562262,"LINESTRING (-58.4030567 -34.5929029, -58.4035761 -34.5939749, -58.4036293 -34.5940834)",,,,,,
81834162,4670271970,0,113531313,True,1,Ecuador,residential,30,False,39.735,6.603559805615839,0.028192900649642562,"LINESTRING (-58.4041864 -34.5952301, -58.4043439 -34.5955631)",,,,,,
81834162,81614899,0,117293693,True,2,Charcas,residential,40,False,100.689,7.2263333763890145,0.011613058667630405,"LINESTRING (-58.4041864 -34.5952301, -58.4051087 -34.5947366)",,,,,,
81834163,195505114,0,113531313,True,1,Ecuador,residential,30,False,142.073,10.436330156335798,0.028301941614766103,"LINESTRING (-58.4045887 -34.5960607, -58.405176 -34.5972434)",,,,,,
81834163,4670271965,0,533174413,True,1,General Lucio Norberto Mansilla,residential,20,False,25.677,2.5911613676757312,0.0011345157422180173,"LINESTRING (-58.4045887 -34.5960607, -58.4043292 -34.5961484)",,,,,,
81834165,81834168,0,533174412,True,1,Ecuador,residential,20,False,189.024,5.020100935559679,0.0005093910715037761,"LINESTRING (-58.4055917 -34.598056, -58.4063226 -34.5996459)",,,,,,
81834165,81832382,0,64457582,True,3,Avenida Córdoba,primary,50,False,96.95100000000001,8.480257626381293,0.03156229911895553,"LINESTRING (-58.4055917 -34.598056, -58.4065486 -34.5980606, -58.4066509 -34.59806)",,,11,,,
81834168,195723885,0,47304445,True,2,San Luis,residential,40,False,94.119,4.997326857962353,0.003811210260036584,"LINESTRING (-58.4063226 -34.5996459, -58.4053045 -34.5997648)",,,,,,
81834168,81834169,0,533174411,True,1,Ecuador,residential,30,False,121.863,8.505249842363387,0.0005446498266934241,"LINESTRING (-58.4063226 -34.5996459, -58.4066561 -34.6007069)",,,,,,
81834169,195723904,0,9940858,True,1,Viamonte,residential,40,False,93.282,8.511653868267903,0.00019780814601303462,"LINESTRING (-58.4066561 -34.6007069, -58.4056414 -34.6007853)",,,,,,
81834169,199483179,0,533174411,True,1,Ecuador,residential,30,False,102.156,10.56274005099118,0.0004123315537456061,"LINESTRING (-58.4066561 -34.6007069, -58.4069418 -34.601595)",,,,,,
81834174,195898467,0,1268297581,True,5,Avenida Corrientes,primary,50,False,107.895,5.350207466147678,0.018327109183632492,"LINESTRING (-58.4078072 -34.6042625, -58.4066419 -34.6044093)",,,,,,
81834174,199482967,0,472800363,True,,Ecuador,residential,30,False,126.116,8.889827416813135,0.0002675094815036814,"LINESTRING (-58.4078072 -34.6042625, -58.4081698 -34.6052092, -58.4082219 -34.6053441)",,,,,,
81834483,181113590,0,48098624,True,2,Teniente General Juan Domingo Perón,residential,30,False,121.297,12.052027944628179,0.012582413259381357,"LINESTRING (-58.4091184 -34.607884, -58.4101999 -34.6079325, -58.4103234 -34.6079373, -58.410442 -34.6079391)",,,,,,
