u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,Cost of returning,Edge Betweenness,geometry,access,junction,ref,width,est_width,tunnel,bridge,service
21638877,1636238506,0,359739471,True,,Carrer de Sant Carles,residential,30,False,14.899000000000001,5.240497842609156,7.063218771412235e-05,"LINESTRING (2.1891407 41.3791109, 2.1892629 41.3791359, 2.1893127 41.3791469)",,,,,,,,
21638877,30343573,0,970456887,True,,Carrer de Sevilla,residential,30,False,59.260999999999996,13.22799069971314,0.00028569830907934125,"LINESTRING (2.1891407 41.3791109, 2.1891313 41.379134, 2.1889492 41.3795834, 2.1889341 41.3796208)",,,,,,,,
21638878,30343394,0,"[970882915, 32014575]",True,,Carrer de l'Atlàntida,residential,"['20', '30']",False,92.376,13.490145144507553,0.0009797542535857882,"LINESTRING (2.1900047 41.3792994, 2.189979 41.3793646, 2.1898228 41.3797609, 2.1897182 41.3800264, 2.1896909 41.3800961)",,,,,,,,
21638878,242317164,0,359739471,True,,Carrer de Sant Carles,residential,30,False,14.608,5.229186100486222,0.0021753734602840183,"LINESTRING (2.1900047 41.3792994, 2.1900545 41.3793104, 2.1901727 41.3793364)",,,,,,,,
21638882,1636238518,0,146246750,True,,Carrer del Rector Bruguera,residential,30,False,57.647999999999996,7.965840160918625,0.00031680120968895296,"LINESTRING (2.1878203 41.3805427, 2.1880053 41.380074, 2.1880165 41.3800456)",yes,,,,,,,
21638882,30343282,0,359739473,True,,Carrer de la Maquinista,living_street,20,False,14.608,4.842107736274719,0.0004804586428054765,"LINESTRING (2.1878203 41.3805427, 2.1878374 41.3805466, 2.1879689 41.3805769, 2.1879877 41.3805812)",,,,,,,,
21638889,190987748,0,"[542948170, 22588050, 882828677, 309051296]",True,3,Pla de Palau,tertiary,30,False,74.699,8.276848965338829,0.0035028256740400558,"LINESTRING (2.1841315 41.3821491, 2.1841632 41.3821342, 2.1842305 41.3821042, 2.1843299 41.3820599, 2.1846701 41.3819008, 2.1847368 41.3818697, 2.1847546 41.3818616, 2.1847756 41.3818515, 2.1848516 41.3818202, 2.1848958 41.3817994)",,,,,,,,
21638889,242284800,0,22588067,True,2,Pla de Palau,tertiary,30,False,69.176,10.013266088053692,0.001036548613936728,"LINESTRING (2.1841315 41.3821491, 2.1843617 41.3824342, 2.1844777 41.3825788, 2.1845602 41.3826816)",,,,,,,,
21638891,533663031,0,18512190,True,3,Passeig d'Isabel II,tertiary,50,False,160.82799999999997,8.560024533661032,0.03293974979043551,"LINESTRING (2.1831923 41.3826029, 2.1831411 41.3825404, 2.1831247 41.3825206, 2.1830865 41.382475, 2.1827271 41.3820447, 2.1825489 41.3818315, 2.1823503 41.3815965, 2.1823037 41.3815446, 2.182291 41.3815266, 2.182166 41.3813787)",,,,,,,,
21638891,190971702,0,"[293505299, 514849724]",True,3,Pla de Palau,tertiary,30,False,18.786,5.037986317029052,0.007691203599793541,"LINESTRING (2.1831923 41.3826029, 2.1832755 41.3825599, 2.1833747 41.3825039)",,,,,,,,
21638917,190981834,0,"[245672928, 246639229]",True,4,Plaça del Portal de la Pau,secondary,50,False,35.938,7.73651955153532,0.002484830571651729,"LINESTRING (2.1781634 41.375966, 2.178129 41.3760533, 2.1780416 41.376127, 2.1779426 41.3761382, 2.1778658 41.3761475)",,circular,,,,,,
21638917,190985498,0,"[903747291, 474464196]",True,"['4', '3']",Passeig de Colom,secondary,50,False,683.631,24.164358567699107,0.022420733343005213,"LINESTRING (2.1781634 41.375966, 2.1782224 41.3761351, 2.1782402 41.3761575, 2.1782656 41.3761895, 2.1783041 41.3762369, 2.1784312 41.376387, 2.1786745 41.3766946, 2.1793397 41.3775149, 2.1797186 41.3779841, 2.1806915 41.3791887, 2.1808969 41.3794439, 2.1819828 41.3807922, 2.1819958 41.3808084, 2.1820343 41.3808562, 2.1820672 41.3809045, 2.182106 41.380957, 2.1821752 41.3810567, 2.1821827 41.3810668, 2.1823228 41.3812543)",,,,,,,,
21638920,21638917,0,"[4079520, 914891584, 514858416, 914891583]",True,4,Plaça del Portal de la Pau,secondary,50,False,81.25200000000001,7.884376794653954,0.02490556391465694,"LINESTRING (2.177604 41.3754663, 2.1776772 41.3754706, 2.1777529 41.3754825, 2.1778298 41.3755064, 2.177911 41.3755437, 2.1779853 41.3756006, 2.1780644 41.3756571, 2.1781208 41.3757409, 2.178141 41.3758023, 2.1781503 41.3758422, 2.1781592 41.3758804, 2.1781634 41.375966)",,circular,,,,,,
21638921,4149862949,0,"[8380803, 309051278]",True,3,Passeig de Josep Carner,secondary,50,False,169.365,11.156529228145132,0.013889261820197405,"LINESTRING (2.1774317 41.3755381, 2.1773511 41.3754238, 2.1773432 41.3754125, 2.1773307 41.3753944, 2.1772996 41.3753539, 2.1768393 41.3747772, 2.1767498 41.3746655, 2.1767255 41.3746353, 2.1766622 41.374556, 2.1765516 41.374492, 2.1764944 41.374472, 2.1764251 41.3744605, 2.1761897 41.3744369)",,,,,,,,
