osmid,y,x,highway,street_count,geometry
206148645,-34.6402644,-58.371001,,4,POINT (-58.371001 -34.6402644)
206148646,-34.6412942,-58.3707935,,4,POINT (-58.3707935 -34.6412942)
206148647,-34.6252532,-58.414693,traffic_signals,4,POINT (-58.414693 -34.6252532)
206148648,-34.6159497,-58.4418522,traffic_signals,4,POINT (-58.4418522 -34.6159497)
206148649,-34.6271543,-58.398766,traffic_signals,4,POINT (-58.398766 -34.6271543)
206150188,-34.6265903,-58.4028914,traffic_signals,4,POINT (-58.4028914 -34.6265903)
206150206,-34.6412672,-58.4062871,,4,POINT (-58.4062871 -34.6412672)
206150207,-34.6414504,-58.4075526,,4,POINT (-58.4075526 -34.6414504)
206150208,-34.6319899,-58.4216183,traffic_signals,4,POINT (-58.4216183 -34.6319899)
206150209,-34.6394038,-58.4251961,,5,POINT (-58.4251961 -34.6394038)
206150210,-34.6404338,-58.4249215,,5,POINT (-58.4249215 -34.6404338)
206150211,-34.6399851,-58.4222864,traffic_signals,4,POINT (-58.4222864 -34.6399851)
206150212,-34.6341394,-58.4278444,,4,POINT (-58.4278444 -34.6341394)
206150214,-34.637473,-58.4282774,,4,POINT (-58.4282774 -34.637473)
206150223,-34.6237722,-58.4288906,traffic_signals,4,POINT (-58.4288906 -34.6237722)
206150224,-34.6213424,-58.4214586,,3,POINT (-58.4214586 -34.6213424)
206150225,-34.6210871,-58.432601,,4,POINT (-58.432601 -34.6210871)
206150226,-34.6227635,-58.432158,traffic_signals,4,POINT (-58.432158 -34.6227635)
206150227,-34.6272582,-58.4077071,,4,POINT (-58.4077071 -34.6272582)
206154342,-34.6456893,-58.4259849,traffic_signals,4,POINT (-58.4259849 -34.6456893)
206154343,-34.644915,-58.4263723,,4,POINT (-58.4263723 -34.644915)
206154344,-34.6418199,-58.4381277,,4,POINT (-58.4381277 -34.6418199)
206154345,-34.6441464,-58.4373378,,3,POINT (-58.4373378 -34.6441464)
206154346,-34.6421164,-58.4395982,,4,POINT (-58.4395982 -34.6421164)
206154358,-34.6455928,-58.412833,,4,POINT (-58.412833 -34.6455928)
206154797,-34.6442632,-58.4244148,traffic_signals,4,POINT (-58.4244148 -34.6442632)
206154799,-34.6451938,-58.4232976,,4,POINT (-58.4232976 -34.6451938)
206154802,-34.6460218,-58.420135,,3,POINT (-58.420135 -34.6460218)
206154804,-34.6434901,-58.4235454,traffic_signals,4,POINT (-58.4235454 -34.6434901)
206154805,-34.6445186,-58.4225566,,4,POINT (-58.4225566 -34.6445186)
206154806,-34.6454248,-58.4216569,,4,POINT (-58.4216569 -34.6454248)
206154807,-34.6464875,-58.4206409,,4,POINT (-58.4206409 -34.6464875)
206161787,-34.6456955,-58.4512227,,3,POINT (-58.4512227 -34.6456955)
206161792,-34.6427646,-58.4309168,,4,POINT (-58.4309168 -34.6427646)
206161793,-34.6430001,-58.432267,,4,POINT (-58.432267 -34.6430001)
206161794,-34.6434542,-58.4342133,,4,POINT (-58.4342133 -34.6434542)
206161797,-34.6437965,-58.4357962,,4,POINT (-58.4357962 -34.6437965)
206161798,-34.6444514,-58.4387418,,4,POINT (-58.4387418 -34.6444514)
206161801,-34.6448299,-58.440132,,3,POINT (-58.440132 -34.6448299)
206161810,-34.639809,-58.4276795,,4,POINT (-58.4276795 -34.639809)
206161811,-34.6400262,-58.4288286,,4,POINT (-58.4288286 -34.6400262)
206161812,-34.6402423,-58.4301406,,4,POINT (-58.4301406 -34.6402423)
206161813,-34.6404563,-58.4313954,,4,POINT (-58.4313954 -34.6404563)
206161814,-34.6406584,-58.4324265,,4,POINT (-58.4324265 -34.6406584)
206161815,-34.6408694,-58.4334739,,4,POINT (-58.4334739 -34.6408694)
206161816,-34.6411867,-58.4350488,,4,POINT (-58.4350488 -34.6411867)
206161840,-34.6462577,-58.4349431,traffic_signals,4,POINT (-58.4349431 -34.6462577)
206161841,-34.6425338,-58.436234,traffic_signals,4,POINT (-58.436234 -34.6425338)
206161842,-34.6415241,-58.436598,,4,POINT (-58.436598 -34.6415241)
206161843,-34.6401923,-58.4370782,,4,POINT (-58.4370782 -34.6401923)
206161844,-34.6391553,-58.437452,,4,POINT (-58.437452 -34.6391553)
206161846,-34.6395188,-58.4389375,,4,POINT (-58.4389375 -34.6395188)
206161847,-34.640584,-58.4385644,,4,POINT (-58.4385644 -34.640584)
206163404,-34.6373175,-58.4452981,,4,POINT (-58.4452981 -34.6373175)
206163405,-34.6349062,-58.4475207,traffic_signals,4,POINT (-58.4475207 -34.6349062)
206163408,-34.6427939,-58.4442401,traffic_signals,4,POINT (-58.4442401 -34.6427939)
206163409,-34.6417881,-58.4430821,traffic_signals,4,POINT (-58.4430821 -34.6417881)
206163412,-34.6426188,-58.4421611,,3,POINT (-58.4421611 -34.6426188)
206163414,-34.6405138,-58.4429406,,4,POINT (-58.4429406 -34.6405138)
206163415,-34.6396007,-58.4432787,,4,POINT (-58.4432787 -34.6396007)
206163416,-34.6382576,-58.4436284,,4,POINT (-58.4436284 -34.6382576)
206163417,-34.637052,-58.4439137,,4,POINT (-58.4439137 -34.637052)
206163418,-34.6363296,-58.4440899,,3,POINT (-58.4440899 -34.6363296)
206163419,-34.6360706,-58.4428226,traffic_signals,3,POINT (-58.4428226 -34.6360706)
206163420,-34.6392945,-58.4420296,,4,POINT (-58.4420296 -34.6392945)
206163421,-34.6405517,-58.4415619,,4,POINT (-58.4415619 -34.6405517)
206163422,-34.6412841,-58.4412705,,4,POINT (-58.4412705 -34.6412841)
206163423,-34.6423723,-58.4408813,,4,POINT (-58.4408813 -34.6423723)
206163424,-34.6433977,-58.4405067,,4,POINT (-58.4405067 -34.6433977)
206163433,-34.644734,-58.4399937,,3,POINT (-58.4399937 -34.644734)
206163438,-34.6385555,-58.444969,traffic_signals,4,POINT (-58.444969 -34.6385555)
206163439,-34.6406279,-58.4472321,,4,POINT (-58.4472321 -34.6406279)
206163440,-34.6407583,-58.4437813,,4,POINT (-58.4437813 -34.6407583)
206163441,-34.6420428,-58.445255,,5,POINT (-58.445255 -34.6420428)
206163442,-34.6436906,-58.4471054,,4,POINT (-58.4471054 -34.6436906)
206163443,-34.6398384,-58.444428,traffic_signals,4,POINT (-58.444428 -34.6398384)
206163445,-34.6409546,-58.4400264,,4,POINT (-58.4400264 -34.6409546)
206163446,-34.635352,-58.4354858,,4,POINT (-58.4354858 -34.635352)
206163447,-34.6356565,-58.4370366,,4,POINT (-58.4370366 -34.6356565)
206163449,-34.6359685,-58.4385987,traffic_signals,4,POINT (-58.4385987 -34.6359685)
206163453,-34.6362715,-58.4400686,,4,POINT (-58.4400686 -34.6362715)
206163454,-34.6365882,-58.4416155,,4,POINT (-58.4416155 -34.6365882)
206163455,-34.6368056,-58.4426327,,4,POINT (-58.4426327 -34.6368056)
206163460,-34.6398802,-58.4482042,,4,POINT (-58.4482042 -34.6398802)
206163461,-34.641487,-58.450038,,4,POINT (-58.450038 -34.641487)
206163462,-34.6436319,-58.4451666,,4,POINT (-58.4451666 -34.6436319)
206163463,-34.6428649,-58.4461616,,4,POINT (-58.4461616 -34.6428649)
206163466,-34.6414143,-58.4481364,,4,POINT (-58.4481364 -34.6414143)
206163467,-34.6406594,-58.4491241,,4,POINT (-58.4491241 -34.6406594)
206163468,-34.6380656,-58.4525316,traffic_signals,4,POINT (-58.4525316 -34.6380656)
