u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,access,ref,tunnel,bridge,width,junction
42422028,42453395,0,195743264,True,4,West Street,trunk,30 mph,False,305.112,"LINESTRING (-74.0143969 40.7110047, -74.0143564 40.7111512, -74.0143255 40.7112933, -74.0142859 40.7115138, -74.0142284 40.7118488, -74.0141597 40.7121786, -74.014049 40.7126519, -74.0140009 40.7128443, -74.0139744 40.7129422, -74.0139595 40.7129997, -74.0138978 40.7131932, -74.0138487 40.713332, -74.0137713 40.7135338, -74.0137519 40.7135898, -74.0137098 40.7136952)",4.37930213967782,0.000484730917320636,,NY 9A,,,,
42422028,246858433,0,438899450,False,,Liberty Street,residential,,True,25.312,"LINESTRING (-74.0143969 40.7110047, -74.0145243 40.7110601, -74.0146587 40.7111162)",1.1134938205101357,5.878376392440408e-08,,,,,,
42422258,42430589,0,"[5669945, 989267823]",True,"['1', '2']",11th Avenue,secondary,25 mph,False,85.044,"LINESTRING (-74.0074153 40.7482041, -74.0073407 40.7483007, -74.0072425 40.7484224, -74.0070365 40.7487185, -74.0070228 40.7487399, -74.0070186 40.7487713, -74.0070027 40.7488909)",12.368656180936973,0.0006415072157070217,,,,,,
42422509,42457925,0,46201644,True,2,FDR Drive,primary,25 mph,False,97.88799999999999,"LINESTRING (-73.9736517 40.7381466, -73.9733751 40.7385276, -73.9733083 40.7386248, -73.9732454 40.7387253, -73.9731767 40.7388427, -73.9731277 40.7389315)",21.18344563921504,0.01888598888986862,,,,,,
42422899,42454010,0,"[955205137, 368938762]",True,"['4', '3']",1st Avenue,primary,25 mph,False,77.79799999999999,"LINESTRING (-73.9721236 40.7456883, -73.972079 40.7457473, -73.9718419 40.7460717, -73.9717216 40.7462397, -73.9716752 40.7462999)",4.640790407917946,0.017272786056491195,,,,,,
42422899,42449689,0,"[368938760, 1090370025, 664660185]",True,"['4', '3']",East 37th Street,secondary,25 mph,False,146.941,"LINESTRING (-73.9721236 40.7456883, -73.9722614 40.7457458, -73.9723585 40.7457863, -73.9726572 40.7459109, -73.9729287 40.7460254, -73.9733985 40.7462201, -73.973456 40.746244, -73.9736516 40.7463256)",8.067412347547686,0.004330012050671604,,,,,,
42423020,42454495,0,46334595,True,2,East 36th Street,secondary,25 mph,False,61.999,"LINESTRING (-73.9749393 40.7460796, -73.9748153 40.7460064, -73.9746535 40.7459176, -73.9744031 40.7458151, -73.974319 40.7457827)",9.334592542723328,0.007449431267084031,,,,,,
42423020,42434965,0,"[1020832418, 421852618, 420872183]",True,"['5', '6']",2nd Avenue,primary,25 mph,False,79.47600000000001,"LINESTRING (-73.9749393 40.7460796, -73.9749925 40.7460073, -73.9751397 40.7458075, -73.9752586 40.7456459, -73.9753498 40.745522, -73.9753989 40.7454554)",7.584476554306537,0.021169209064456396,,,,,,
42423020,11942111840,0,1287670373,True,4,,motorway_link,,False,20.604,"LINESTRING (-73.9749393 40.7460796, -73.9747811 40.7460525, -73.9747018 40.7460356)",6.89988666930479,0.09568727037592217,,,,,,
42423039,42450820,0,958188025,True,4,FDR Drive,motorway,40 mph,False,71.337,"LINESTRING (-73.9757407 40.7163982, -73.9760506 40.7158012)",25.791721309816502,0.000727096375980954,,FDR,,,,
42423051,42454391,0,420629945,True,2,East Houston Street,primary,25 mph,False,29.703,"LINESTRING (-73.9748036 40.718847, -73.9748233 40.7188784, -73.9748426 40.718903, -73.9748736 40.7189271, -73.9749074 40.7189459, -73.9749419 40.7189595, -73.974985 40.7189708, -73.9750178 40.7189757, -73.9750822 40.7189791)",2.839412908753414,0.00022590600476148488,,,,,,
42423051,370894980,0,"[959041299, 46629371, 1080978589]",True,"['1', '2']",,motorway_link,40 mph,False,274.357,"LINESTRING (-73.9748036 40.718847, -73.9747804 40.7188758, -73.9747618 40.7189052, -73.9747405 40.7189427, -73.9747312 40.7189654, -73.9747214 40.7190038, -73.9747136 40.7190521, -73.9746195 40.7198617, -73.9745682 40.7204342, -73.974557 40.7205427, -73.9745509 40.7206536, -73.9745478 40.7210037, -73.9745541 40.7212958)",17.179996343775056,0.0023243100255709373,,,,,,
42423295,9906966855,0,1080873866,True,1,FDR Drive,primary,25 mph,False,21.108,"LINESTRING (-73.9775923 40.7132542, -73.9776047 40.7130646)",6.538904624738589,0.0005246450930253064,,,,,,
42423295,42437786,0,"[1188964152, 194923769, 1188954618, 1080978587]",False,2,Grand Street,primary,25 mph,True,176.224,"LINESTRING (-73.9775923 40.7132542, -73.9776678 40.7132751, -73.9778682 40.7133365, -73.9780496 40.713392, -73.9782576 40.7134578, -73.9784925 40.7135321, -73.9793675 40.7137954, -73.979532 40.7138456)",1.7712883258667518,0.001539017723304823,,,,,,
42423456,4602414021,0,421832644,True,4,Varick Street,primary,25 mph,False,3.421,"LINESTRING (-74.006113 40.7237914, -74.0061172 40.7237608)",7.589041361631585,0.02696058548628869,,,,,,
