u,v,key,osmid,oneway,name,highway,reversed,length,geometry,Cost of returning,Edge Betweenness,lanes,maxspeed,bridge,ref,junction,access,tunnel
5322596132,5322596136,0,551129050,False,,residential,False,61.539,"LINESTRING (-45.8944224 -23.1655566, -45.8945852 -23.1656065, -45.8947939 -23.1656845, -45.8948558 -23.1657203, -45.8949322 -23.1658192)",1.4681650663442887,0.0007959321166712953,,,,,,,
5322596136,1491345108,0,135869265,False,Rua Miguel Eras,residential,False,183.30399999999997,"LINESTRING (-45.8949322 -23.1658192, -45.8947303 -23.1659751, -45.8945435 -23.1661749, -45.8944055 -23.1663584, -45.8943017 -23.1665286, -45.8941973 -23.1667638, -45.8941027 -23.167053, -45.8940667 -23.1672181)",1.58778501707844,0.001094680440044891,,,,,,,
5322596136,1491345093,0,135869265,False,Rua Miguel Eras,residential,True,53.916,"LINESTRING (-45.8949322 -23.1658192, -45.8951491 -23.1656889, -45.8953882 -23.165577)",1.248067148792175,0.0002501250625312656,,,,,,,
5322596136,5322596132,0,551129050,False,,residential,True,61.539,"LINESTRING (-45.8949322 -23.1658192, -45.8948558 -23.1657203, -45.8947939 -23.1656845, -45.8945852 -23.1656065, -45.8944224 -23.1655566)",1.4681650663442878,0.002958947574863238,,,,,,,
5327748850,3179135182,0,551694050,False,,residential,True,109.98,"LINESTRING (-45.8469002 -23.2138704, -45.8469397 -23.2136435, -45.846994 -23.213394, -45.8470483 -23.2131785, -45.8470927 -23.213056, -45.8471384 -23.2129073)",1.2508536815578337,0.0002501250625312656,,,,,,,
5327748855,5327748865,0,551694051,False,,residential,False,102.519,"LINESTRING (-45.8470656 -23.2118652, -45.8471248 -23.2118856, -45.8471838 -23.2118829, -45.8472309 -23.2118538, -45.8472507 -23.211788, -45.8472803 -23.2116814, -45.8473173 -23.2116066, -45.8473514 -23.211591, -45.8474014 -23.2116009, -45.8475172 -23.2116451, -45.8478302 -23.2117292)",1.6050056919142908,0.00024599490137863523,,,,,,,
5327748855,5355099061,0,"[551718249, 551694051]",False,,residential,"[False, True]",230.89799999999997,"LINESTRING (-45.8470656 -23.2118652, -45.8469719 -23.2117534, -45.8469015 -23.2116357, -45.8468488 -23.2115642, -45.8468203 -23.2115528, -45.8467828 -23.2115547, -45.8467201 -23.2115686, -45.8459211 -23.2116826, -45.8458467 -23.2117485, -45.8457696 -23.2118557, -45.8456703 -23.2120382, -45.8455585 -23.2123568, -45.845538 -23.2124417)",1.2053339624437416,0.0,,,,,,,
5327748855,5355099049,0,"[551694052, 551694053]",False,,residential,"[False, True]",76.636,"LINESTRING (-45.8470656 -23.2118652, -45.8470285 -23.2119604, -45.8469779 -23.2120878, -45.8469559 -23.2121491, -45.8469185 -23.2124281, -45.8469062 -23.2125343)",1.1756118875875894,4.1301611526303555e-06,,,,,,,
5327748865,5327748855,0,551694051,False,,residential,True,102.519,"LINESTRING (-45.8478302 -23.2117292, -45.8475172 -23.2116451, -45.8474014 -23.2116009, -45.8473514 -23.211591, -45.8473173 -23.2116066, -45.8472803 -23.2116814, -45.8472507 -23.211788, -45.8472309 -23.2118538, -45.8471838 -23.2118829, -45.8471248 -23.2118856, -45.8470656 -23.2118652)",1.605005691914291,0.0002461200577771998,,,,,,,
5327748865,3179135178,0,551694054,False,Rua Bom Jesus,residential,True,85.06,"LINESTRING (-45.8478302 -23.2117292, -45.8476353 -23.2122039, -45.8475794 -23.2124107, -45.8475721 -23.2124547)",1.474276640905379,0.002694304370098484,,,,,,,
5327748865,5327748873,0,551694057,False,Estrada Núcleo Congelado Bom Jesus,residential,False,16.939,"LINESTRING (-45.8478302 -23.2117292, -45.8478505 -23.2116771, -45.8478917 -23.2115878)",1.7493810845891307,0.0031802240875253734,,,,,,,
5327748868,5355099049,0,551694053,False,,residential,False,50.716,"LINESTRING (-45.8473936 -23.2126168, -45.8473031 -23.2125928, -45.8471087 -23.2125638, -45.8469994 -23.2125447, -45.8469062 -23.2125343)",1.5502642847273165,0.0004983727790840629,,,,,,,
5327748868,3179135178,0,551694054,False,Rua Bom Jesus,residential,False,25.804,"LINESTRING (-45.8473936 -23.2126168, -45.8475029 -23.2125355, -45.8475721 -23.2124547)",1.4991532788552364,0.0024677712886966375,,,,,,,
5327748868,3179135182,0,551694054,False,Rua Bom Jesus,residential,True,41.518,"LINESTRING (-45.8473936 -23.2126168, -45.8473016 -23.2127228, -45.8472419 -23.212792, -45.8471384 -23.2129073)",1.4680625162436551,0.0017225900916432696,,,,,,,
