u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,tunnel,geometry,Cost of returning,Edge Betweenness,bridge,junction,width,access,est_width,service
635182,635181,0,27846537,True,3,A 61,Périphérique Extérieur - Autoroute des Deux Mers,motorway,90,False,676.121,,"LINESTRING (1.494197 43.591136, 1.4941742 43.5912086, 1.4941446 43.5913242, 1.494032 43.5918166, 1.4939475 43.5921974, 1.4938121 43.5929453, 1.4937396 43.5933999, 1.4936981 43.5937039, 1.4936471 43.5940283, 1.4936015 43.5943362, 1.4935411 43.5947529, 1.4935036 43.5950821, 1.4934325 43.5954969, 1.4933829 43.59573, 1.4933373 43.5959427, 1.4932904 43.5961321, 1.4932153 43.5963807, 1.4931522 43.5965682, 1.4930597 43.596811, 1.492915 43.5971344)",29.58463595563109,0.0009148673576707529,,,,,,
635182,1184733227,0,144568531,True,2,17,Lasbordes,motorway_link,,False,281.51400000000007,,"LINESTRING (1.494197 43.591136, 1.4942686 43.5912257, 1.4942197 43.5914577, 1.4941809 43.5916602, 1.4941581 43.5918647, 1.4941514 43.5920114, 1.4941488 43.5921839, 1.49415 43.5923591, 1.4941791 43.5927595, 1.494191 43.5929622, 1.4941974 43.5931537, 1.4941984 43.5933179, 1.4941796 43.5934849, 1.4941577 43.5936463)",22.701029232602824,0.0006979916460935547,,,,,,
636551,2123636223,0,991717481,False,2,,Avenue de Rangueil,tertiary,30,True,11.961,,"LINESTRING (1.4611224 43.5723215, 1.4612363 43.5722525)",1.2320871482055342,0.0036539711037523936,,,,,,
636551,239954949,0,"[32350631, 150331711]",False,2,,Avenue de Rangueil,tertiary,30,False,103.233,,"LINESTRING (1.4611224 43.5723215, 1.4609978 43.5723977, 1.4608428 43.5724921, 1.4607777 43.5725435, 1.4607519 43.5725591, 1.4602428 43.5728781, 1.4601574 43.5729316)",1.6295895152627737,0.004108039214758042,,,,,,
636647,161620015,0,"[32045697, 4612218]",False,,,Avenue du Lauragais,residential,30,True,217.71699999999998,,"LINESTRING (1.4578321 43.5783193, 1.4579388 43.5782292, 1.4582473 43.5779834, 1.4584123 43.5778649, 1.4586617 43.5776813, 1.4591888 43.5772693, 1.4593336 43.5771343, 1.4594141 43.5770648, 1.4595871 43.576923, 1.4596486 43.576871)",1.6609064782038103,0.0018227570179362822,,,,,,
636647,166012454,0,184760047,False,2,,Avenue Albert Bedouce,tertiary,30,True,81.218,,"LINESTRING (1.4578321 43.5783193, 1.4577325 43.5782523, 1.4577115 43.5782385, 1.4571076 43.5778114)",1.68895880326324,0.0015093770390656376,,,,,,
636647,369759899,0,"[387184643, 387184648, 387184680, 326764023, 387184664]",False,2,,Avenue Albert Bedouce,tertiary,30,False,93.25,,"LINESTRING (1.4578321 43.5783193, 1.4579482 43.5783924, 1.4579687 43.5784062, 1.4582392 43.578593, 1.4583282 43.5786554, 1.4583844 43.5786949, 1.4585793 43.5788317, 1.4586313 43.5788682, 1.4586723 43.578896)",1.9412555576174853,0.0009208341519183293,,,,,,
636647,239954802,0,326764025,False,,,Avenue du Lauragais,residential,30,False,96.931,,"LINESTRING (1.4578321 43.5783193, 1.4577376 43.5783971, 1.4576996 43.5784243, 1.4570722 43.5789129, 1.4570145 43.5789588)",1.712962014334776,0.0015701545093973557,,,,,,
644015,240719974,0,"[4612555, 189537333]",True,2,,Grande Rue Saint-Michel,secondary,30,False,240.642,,"LINESTRING (1.4469916 43.5866477, 1.4469584 43.5867204, 1.4468948 43.586867, 1.4468301 43.5870161, 1.446814 43.5870577, 1.4466201 43.5875591, 1.4465149 43.5878309, 1.4464684 43.5879512, 1.4464147 43.58809, 1.4462871 43.5884198, 1.446203 43.5886372, 1.446168 43.5887278)",10.481653956898096,0.01256631524714166,,,,,,
644015,240719990,0,204002484,False,2,,Grande Rue Saint-Michel,secondary,30,True,33.0,,"LINESTRING (1.4469916 43.5866477, 1.4470959 43.5863863, 1.4471054 43.5863626)",1.5483286307132875,0.0008122237029076928,,,,,,
644018,240717117,0,"[219699545, 158060476]",True,1,,"['Place Auguste Lafourcade', 'Rue Achille Viadieu']",tertiary,30,False,45.727000000000004,,"LINESTRING (1.4446211 43.5920795, 1.444552 43.5920207, 1.4445184 43.5919921, 1.4444694 43.5919011, 1.4444413 43.5918401, 1.4444339 43.5917973, 1.4444411 43.5917061)",8.972863963539046,0.00043037352723738017,,,,,,
644018,361545536,0,"[235746889, 235746891, 255914957]",True,"['3', '2']",,"['Place Auguste Lafourcade', 'Espace Jean-Étienne Duranti']",secondary,30,False,106.03500000000001,,"LINESTRING (1.4446211 43.5920795, 1.4445997 43.5922098, 1.4445775 43.5923452, 1.4445627 43.5924351, 1.4445596 43.5924543, 1.4445335 43.5926014, 1.4445298 43.5926225, 1.4445217 43.5926755, 1.4445052 43.592783, 1.4444992 43.5928146, 1.4444971 43.5928256, 1.4444836 43.5928756, 1.4444663 43.5929224, 1.4444334 43.5930223)",26.45867380637226,0.013734426173890335,,,,,,
644021,338518436,0,"[50556002, 8060811]",False,4,,Pont du Garigliano,secondary,50,True,154.53500000000003,,"LINESTRING (1.4393052 43.5841026, 1.4378065 43.5841743, 1.4375574 43.5841857, 1.4373907 43.5841933)",2.1059420759976826,0.03426162844367859,yes,,,,,
