osmid,y,x,street_count,highway,geometry
8003099623,-22.9187751,-43.2207998,3,,POINT (-43.2207998 -22.9187751)
8003099632,-22.9243411,-43.2170405,1,,POINT (-43.2170405 -22.9243411)
8003099634,-22.9232099,-43.2176515,3,,POINT (-43.2176515 -22.9232099)
8003099635,-22.9244527,-43.2155255,3,,POINT (-43.2155255 -22.9244527)
8003099638,-22.9226315,-43.2165866,3,,POINT (-43.2165866 -22.9226315)
8003129658,-22.9217805,-43.184976,1,,POINT (-43.184976 -22.9217805)
8003129663,-22.9190186,-43.1832564,3,,POINT (-43.1832564 -22.9190186)
8003215739,-22.9139509,-43.2191874,3,,POINT (-43.2191874 -22.9139509)
8003327939,-22.9129205,-43.1747785,5,,POINT (-43.1747785 -22.9129205)
8005387477,-22.9033979,-43.1805749,3,,POINT (-43.1805749 -22.9033979)
8005475366,-22.9178493,-43.2199832,3,,POINT (-43.2199832 -22.9178493)
8005475367,-22.9179566,-43.2200463,4,,POINT (-43.2200463 -22.9179566)
8005518203,-22.8945319,-43.1901902,3,,POINT (-43.1901902 -22.8945319)
8005572806,-22.9101334,-43.2219547,3,,POINT (-43.2219547 -22.9101334)
8005595583,-22.9041199,-43.1904915,3,,POINT (-43.1904915 -22.9041199)
8006344905,-22.9231121,-43.1803921,1,,POINT (-43.1803921 -22.9231121)
8006519003,-22.9241706,-43.1744483,1,,POINT (-43.1744483 -22.9241706)
8011669642,-22.9207646,-43.2208991,3,,POINT (-43.2208991 -22.9207646)
8011669643,-22.9207964,-43.2209654,3,,POINT (-43.2209654 -22.9207964)
8011669644,-22.9210827,-43.2207492,3,,POINT (-43.2207492 -22.9210827)
8011669645,-22.9211076,-43.2208109,3,,POINT (-43.2208109 -22.9211076)
8011669646,-22.9204734,-43.2210437,3,,POINT (-43.2210437 -22.9204734)
8011669647,-22.9205053,-43.2211128,3,,POINT (-43.2211128 -22.9205053)
8116572823,-22.8984629,-43.2113636,3,,POINT (-43.2113636 -22.8984629)
8130387107,-22.9335958,-43.1822553,3,,POINT (-43.1822553 -22.9335958)
8130387108,-22.9330084,-43.1825521,1,,POINT (-43.1825521 -22.9330084)
8130786761,-22.9315096,-43.1793394,3,crossing,POINT (-43.1793394 -22.9315096)
8130786762,-22.9313548,-43.1792236,3,,POINT (-43.1792236 -22.9313548)
8130788379,-22.9382846,-43.1909219,3,,POINT (-43.1909219 -22.9382846)
8185252968,-22.8825636,-43.2285285,3,,POINT (-43.2285285 -22.8825636)
8185641602,-22.8918094,-43.2146762,3,,POINT (-43.2146762 -22.8918094)
8192279847,-22.9246912,-43.2267009,3,,POINT (-43.2267009 -22.9246912)
8195137790,-22.9319649,-43.2094098,3,,POINT (-43.2094098 -22.9319649)
8195190229,-22.9399208,-43.2070612,3,,POINT (-43.2070612 -22.9399208)
8221131524,-22.9229961,-43.2172914,3,,POINT (-43.2172914 -22.9229961)
8221131526,-22.9261498,-43.2233243,1,,POINT (-43.2233243 -22.9261498)
8235708221,-22.9007999,-43.2355881,1,,POINT (-43.2355881 -22.9007999)
8235794265,-22.9013425,-43.2361821,1,,POINT (-43.2361821 -22.9013425)
8236006632,-22.8980884,-43.2347746,1,,POINT (-43.2347746 -22.8980884)
8236006635,-22.8983273,-43.2344144,3,,POINT (-43.2344144 -22.8983273)
8322142194,-22.9142845,-43.1763572,3,,POINT (-43.1763572 -22.9142845)
8325669359,-22.89562,-43.237092,3,,POINT (-43.237092 -22.89562)
8507766172,-22.9349397,-43.178242,3,,POINT (-43.178242 -22.9349397)
8710040632,-22.9348517,-43.1751772,3,,POINT (-43.1751772 -22.9348517)
8712469471,-22.9026245,-43.202277,1,,POINT (-43.202277 -22.9026245)
8712770269,-22.9185509,-43.2079392,1,,POINT (-43.2079392 -22.9185509)
8712770270,-22.9185637,-43.2069628,1,,POINT (-43.2069628 -22.9185637)
8792958440,-22.8920366,-43.2490586,3,,POINT (-43.2490586 -22.8920366)
8792958445,-22.8936526,-43.24751,3,,POINT (-43.24751 -22.8936526)
8792958446,-22.8935284,-43.2475137,3,,POINT (-43.2475137 -22.8935284)
8792958447,-22.8936473,-43.2473907,3,,POINT (-43.2473907 -22.8936473)
8795932726,-22.8908665,-43.226602,3,,POINT (-43.226602 -22.8908665)
8795932727,-22.8909342,-43.2265807,3,,POINT (-43.2265807 -22.8909342)
8812125408,-22.9218733,-43.2101108,3,,POINT (-43.2101108 -22.9218733)
8812125410,-22.919851,-43.2097744,3,,POINT (-43.2097744 -22.919851)
8812125413,-22.9198604,-43.210006,3,,POINT (-43.210006 -22.9198604)
8812176081,-22.9192685,-43.2104979,1,,POINT (-43.2104979 -22.9192685)
8812176082,-22.9191743,-43.210501,3,,POINT (-43.210501 -22.9191743)
8812176085,-22.9206334,-43.2097287,3,,POINT (-43.2097287 -22.9206334)
8812176088,-22.9206435,-43.2099641,3,,POINT (-43.2099641 -22.9206435)
8812237120,-22.9230852,-43.2172326,1,,POINT (-43.2172326 -22.9230852)
8812400085,-22.9176356,-43.1941686,3,,POINT (-43.1941686 -22.9176356)
8812403996,-22.9156124,-43.1936964,3,,POINT (-43.1936964 -22.9156124)
8812875360,-22.8867906,-43.2330291,3,,POINT (-43.2330291 -22.8867906)
8812875361,-22.8867066,-43.2328051,3,,POINT (-43.2328051 -22.8867066)
8812875362,-22.8869005,-43.23267,3,,POINT (-43.23267 -22.8869005)
8812907886,-22.9133016,-43.2198426,1,,POINT (-43.2198426 -22.9133016)
8812907887,-22.9138467,-43.2191166,1,,POINT (-43.2191166 -22.9138467)
8814894420,-22.9149174,-43.2204606,1,,POINT (-43.2204606 -22.9149174)
8815040651,-22.9159885,-43.2283941,3,,POINT (-43.2283941 -22.9159885)
8815040652,-22.9159514,-43.2284628,3,,POINT (-43.2284628 -22.9159514)
8815097974,-22.9134735,-43.2266814,3,,POINT (-43.2266814 -22.9134735)
8815097975,-22.9134311,-43.2267459,3,,POINT (-43.2267459 -22.9134311)
8815226001,-22.914816,-43.2110786,3,,POINT (-43.2110786 -22.914816)
8815226003,-22.914845,-43.2109748,3,,POINT (-43.2109748 -22.914845)
8815399217,-22.9208886,-43.2130771,3,,POINT (-43.2130771 -22.9208886)
8815609620,-22.9176822,-43.2204543,3,,POINT (-43.2204543 -22.9176822)
8815729690,-22.9276263,-43.2293174,3,crossing,POINT (-43.2293174 -22.9276263)
8815729691,-22.9274788,-43.2295265,3,,POINT (-43.2295265 -22.9274788)
8815729692,-22.9276156,-43.2295577,3,,POINT (-43.2295577 -22.9276156)
8818478722,-22.8856048,-43.2284877,3,,POINT (-43.2284877 -22.8856048)
8818613035,-22.9141954,-43.2377534,3,,POINT (-43.2377534 -22.9141954)
8818613036,-22.9141138,-43.2377778,3,,POINT (-43.2377778 -22.9141138)
8821295580,-22.8886099,-43.2325322,1,,POINT (-43.2325322 -22.8886099)
8821299004,-22.9190098,-43.2413581,1,,POINT (-43.2413581 -22.9190098)
8821299005,-22.919293,-43.241848,1,,POINT (-43.241848 -22.919293)
8821299006,-22.9198041,-43.2428491,1,,POINT (-43.2428491 -22.9198041)
8821311998,-22.9254951,-43.2400114,1,,POINT (-43.2400114 -22.9254951)
8821720035,-22.8986253,-43.20988,4,,POINT (-43.20988 -22.8986253)
8821904600,-22.9190507,-43.2407731,1,,POINT (-43.2407731 -22.9190507)
8822028721,-22.8888079,-43.2192671,3,,POINT (-43.2192671 -22.8888079)
8822028722,-22.888692,-43.2188129,3,,POINT (-43.2188129 -22.888692)
