u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,width,access,ref,bridge,tunnel,junction,est_width
20953244,21527321,0,"[4078600, 437147507, 626418870, 685989638]",True,2,Calle de O'Donnell,primary,50,False,447.486,"LINESTRING (-3.6850969 40.4206574, -3.6846553 40.4207246, -3.6842138 40.4208142, -3.6836326 40.4209222, -3.6826788 40.4210871, -3.6821908 40.4211753, -3.682157 40.4211828, -3.682072 40.4212022, -3.6818802 40.4212497, -3.6813172 40.4213591, -3.6807535 40.4214608, -3.6802337 40.4215502, -3.6801766 40.4215612, -3.6799577 40.4215943)",23.515568959010842,0.005986742472482725,,,,,,,
20953247,150985392,0,15241576,True,,Calle de O'Donnell,residential,,False,64.74,"LINESTRING (-3.6667348 40.4205047, -3.6662788 40.4203229, -3.6661916 40.4202899, -3.6661629 40.4202625, -3.6661428 40.4201828)",12.738973409462059,0.0016786989630508062,,,,,,,
20953247,26784155,0,842864238,True,2,Calle de O'Donnell,primary,50,False,77.893,"LINESTRING (-3.6667348 40.4205047, -3.6663851 40.4204355, -3.6660446 40.4203621, -3.6658398 40.4203565)",25.801087149487294,0.004232691083628134,,,,,,,
20953250,21525925,0,"[4066560, 178448637]",True,3,Prolongación de O'Donnell,motorway,70,False,391.698,"LINESTRING (-3.6635938 40.4197584, -3.6629653 40.4196149, -3.661688 40.4193037, -3.6610183 40.4191421, -3.6591917 40.4186743)",39.939870363736915,0.00036444043001565877,,,M-23,yes,,,
20953250,21525909,0,"[4298507, 15220435]",True,1,,motorway_link,50,False,548.394,"LINESTRING (-3.6635938 40.4197584, -3.6633114 40.4196543, -3.66306 40.4195812, -3.6628092 40.419503, -3.6624094 40.4193836, -3.6620664 40.4192868, -3.6617144 40.4191813, -3.6614565 40.4190858, -3.6613555 40.4190395, -3.6612328 40.4189513, -3.6611397 40.4188752, -3.6610375 40.4187334, -3.6609875 40.4186504, -3.6609512 40.4185519, -3.6608785 40.4182838, -3.6608081 40.4180763, -3.6607354 40.417912, -3.6606422 40.4177702, -3.6604832 40.4175886, -3.6602307 40.417371, -3.6600119 40.4171545, -3.6599276 40.4170065, -3.6598763 40.4168455, -3.6598844 40.416597, -3.6599355 40.4162844)",47.22196221966879,0.0006309795957577671,,,,,,,
21473035,338895648,0,4049533,False,4,Paseo de la Florida,primary,,False,45.772999999999996,"LINESTRING (-3.7260253 40.4253229, -3.7259829 40.4252861, -3.7257852 40.4251145, -3.7256706 40.4250122)",1.2648114431812176,0.003433189950820518,,,,,,,
21473035,21473036,0,6181373,False,4,Avenida de Valladolid,primary,,True,70.075,"LINESTRING (-3.7260253 40.4253229, -3.7261827 40.4254602, -3.7264612 40.4257031, -3.7265672 40.4257993)",1.2139369365041999,0.003950843532135909,,,,,,,
21473035,338895638,0,179162272,False,4,,tertiary,,True,43.343999999999994,"LINESTRING (-3.7260253 40.4253229, -3.726119 40.4252341, -3.7263556 40.4250251)",1.8712280744514143,0.00992315681669876,,,,,,,
21473036,21473035,0,6181373,False,4,Avenida de Valladolid,primary,,False,70.075,"LINESTRING (-3.7265672 40.4257993, -3.7264612 40.4257031, -3.7261827 40.4254602, -3.7260253 40.4253229)",1.2139369365042028,0.0035718446204018118,,,,,,,
21473036,338895791,0,44885767,False,4,Avenida de Valladolid,primary,,False,385.996,"LINESTRING (-3.7265672 40.4257993, -3.7266346 40.4258544, -3.7271672 40.4263172, -3.7272268 40.426371, -3.727271 40.4264084, -3.7274265 40.4265451, -3.7277488 40.4268542, -3.728184 40.4273375, -3.7289601 40.4281263, -3.7293647 40.4284948, -3.729391 40.4285209)",1.6255655296864138,0.003848804866308273,,,,,,,
21473041,338895788,0,30642729,True,,Avenida de Valladolid,residential,,False,94.494,"LINESTRING (-3.7299315 40.4290448, -3.7300201 40.4289891, -3.73073 40.4285422, -3.7307919 40.4285033)",4.20926299215313,4.230493089052526e-05,,,,,,,
21473041,338895791,0,44885767,False,4,Avenida de Valladolid,primary,,True,74.075,"LINESTRING (-3.7299315 40.4290448, -3.7297059 40.4288216, -3.7296266 40.4287452, -3.7295735 40.4286958, -3.729391 40.4285209)",1.4491669339040871,0.0034009957949777893,,,,,,,
21473041,21473043,0,"[94258648, 94258652]",False,4,Avenida de Valladolid,primary,,False,123.29599999999999,"LINESTRING (-3.7299315 40.4290448, -3.7303374 40.4294601, -3.7308012 40.4299343)",1.455250662934769,0.003743249409159664,,,,,,,
21473043,21473041,0,"[94258648, 94258652]",False,4,Avenida de Valladolid,primary,,True,123.29599999999999,"LINESTRING (-3.7308012 40.4299343, -3.7303374 40.4294601, -3.7299315 40.4290448)",1.4552506629347688,0.0033835282027916344,,,,,,,
21473043,21473047,0,439762270,False,4,Avenida de Valladolid,primary,,False,230.856,"LINESTRING (-3.7308012 40.4299343, -3.7311797 40.4303296, -3.7312898 40.430448, -3.7315783 40.4308596, -3.7317595 40.431159, -3.7318691 40.4313348, -3.7320631 40.4315829, -3.7321008 40.4316293, -3.7321876 40.4317146)",1.4415406569640332,0.0037495460171497884,,,,,,,
21473047,51390509,0,6181371,False,2,Calle de Loeches,residential,,True,163.001,"LINESTRING (-3.7321876 40.4317146, -3.7322777 40.4316597, -3.7322963 40.4316484, -3.7337815 40.4308925)",1.3885538096466852,0.00011485168126544495,,,,,,,
21473047,51390497,0,"[681053192, 439762270]",False,4,Avenida de Valladolid,primary,,False,224.96900000000002,"LINESTRING (-3.7321876 40.4317146, -3.7328367 40.4323785, -3.7329617 40.4325075, -3.733076 40.4326373, -3.7333851 40.4330149, -3.7334878 40.4331403, -3.7334961 40.4331505, -3.7335398 40.4332012, -3.7336939 40.4333799)",1.6811914795057472,0.0037895883065654228,,,,,,,
21473047,21473043,0,439762270,False,4,Avenida de Valladolid,primary,,True,230.856,"LINESTRING (-3.7321876 40.4317146, -3.7321008 40.4316293, -3.7320631 40.4315829, -3.7318691 40.4313348, -3.7317595 40.431159, -3.7315783 40.4308596, -3.7312898 40.430448, -3.7311797 40.4303296, -3.7308012 40.4299343)",1.4415406569640332,0.0033361290962376413,,,,,,,
21473053,21473073,0,704359726,True,3,Calle 30,motorway,90,False,366.316,"LINESTRING (-3.7384356 40.439538, -3.7384959 40.4396482, -3.7386209 40.4399316, -3.7387213 40.4401926, -3.7387986 40.4404652, -3.7388931 40.4410822, -3.7389471 40.4416615, -3.7390012 40.4421935, -3.7390996 40.4427784)",31.707954164471392,0.0010659756516504418,,,M-30,,,,
21473073,341934544,0,"[30814642, 245104843, 245104852]",True,1,,motorway_link,"['50', '70', '40']",False,263.17199999999997,"LINESTRING (-3.7390996 40.4427784, -3.7390686 40.4429902, -3.7390777 40.4431197, -3.7391116 40.4434372, -3.7391596 40.4438674, -3.7391821 40.4441573, -3.7391588 40.4443675, -3.7391084 40.4444963, -3.7390446 40.4446081, -3.7389421 40.4447103, -3.7387688 40.4448319, -3.7386938 40.4448679, -3.7385376 40.444943)",31.756293548958563,0.0010659756516504418,,,,,,,
21473217,149156586,0,15103181,True,2,,motorway_link,,False,93.982,"LINESTRING (-3.6621631 40.4471277, -3.6618987 40.4463068)",23.101315692852083,0.0008386771537728641,,,,,,,
21473217,355637093,0,192162068,True,2,Calzada lateral M-30,motorway,90,False,181.897,"LINESTRING (-3.6621631 40.4471277, -3.6616884 40.4460043, -3.6614751 40.4455784)",44.565440609912706,0.0005588465855382559,,,M-30,,,,
21473220,21473226,0,192162071,True,4,Calzada lateral M-30,motorway,90,False,306.945,"LINESTRING (-3.6609885 40.4446589, -3.6603101 40.4435477, -3.6600352 40.4429004, -3.6598935 40.442375, -3.6598038 40.4420639)",44.40564273687972,0.0019435185212719976,,,M-30,,,,
21473226,21473229,0,246706745,True,5,Calzada lateral M-30,motorway,90,False,153.123,"LINESTRING (-3.6598038 40.4420639, -3.6596771 40.4416935, -3.6595914 40.441332, -3.6595217 40.4408768, -3.6595199 40.4407081)",38.72335387891288,0.0027206001094084126,,,M-30,,,,
21473229,10928025764,0,"[219295617, 4298483, 219295606]",True,"['1', '2', '3']",,motorway_link,,False,338.27799999999996,"LINESTRING (-3.6595199 40.4407081, -3.6595928 40.4404918, -3.6595777 40.4401064, -3.6595941 40.4395335, -3.659638 40.4390182, -3.6596637 40.4387896, -3.6597376 40.4386408, -3.6599016 40.4385225, -3.6600729 40.4384732, -3.6604403 40.438467, -3.6607441 40.4385165, -3.6607782 40.438522, -3.6609085 40.4385429)",38.753917737194996,0.00040887870858250945,,,,,,,
21473229,21473233,0,246706751,True,4,Calzada lateral M-30,motorway,90,False,134.565,"LINESTRING (-3.6595199 40.4407081, -3.6594875 40.4398168, -3.6594995 40.4394984)",43.76908407175638,0.002311721400825903,,,M-30,,,,
21473233,25927232,0,4297467,True,1,,motorway_link,90,False,209.901,"LINESTRING (-3.6594995 40.4394984, -3.6594659 40.4391716, -3.6595316 40.4384289, -3.6595554 40.4379824, -3.6595621 40.4376138)",52.38515565193755,0.0001137009664582149,,,,,,,
21473233,21473235,0,246706744,True,3,Calzada lateral M-30,motorway_link,90,False,270.53200000000004,"LINESTRING (-3.6594995 40.4394984, -3.6596563 40.4380974, -3.6597183 40.4377573, -3.6598715 40.4370838)",43.775301821105835,0.0021980204343676883,,,M-30,,,,
21473235,21473238,0,246706746,True,4,Calzada lateral M-30,motorway,90,False,138.71800000000002,"LINESTRING (-3.6598715 40.4370838, -3.659914 40.4368645, -3.6600825 40.436108, -3.6601439 40.4358537)",24.59373893822451,0.003932031284444676,,,M-30,,,,
21473238,25531168,0,"[371748832, 246709234, 4298495]",True,"['2', '3']",,motorway_link,,False,487.608,"LINESTRING (-3.6601439 40.4358537, -3.6602564 40.4354627, -3.660356 40.4349977, -3.6605927 40.4339743, -3.6607087 40.4333219, -3.6608642 40.4326907, -3.6610009 40.4321882, -3.6610495 40.431795, -3.6610523 40.4316873, -3.6610556 40.4316086, -3.6610563 40.4315291)",24.54954583848841,0.0012948773926302276,,,,,,,
