u,v,key,osmid,name,highway,oneway,reversed,length,Cost of returning,Edge Betweenness,geometry,lanes,maxspeed,bridge,ref,access,tunnel,junction
122380110,122439393,0,13263673,Texas Street,residential,False,True,108.228,1.7971727892796816,0.007445919140371635,"LINESTRING (-97.3518238 37.682959, -97.3517055 37.68296, -97.3511508 37.6829645, -97.3507337 37.6829679, -97.350594 37.682969)",,,,,,,
122380115,122380119,0,13254989,South Walnut Street,residential,False,False,162.9,1.6627747538343172,0.0004928162140529249,"LINESTRING (-97.3518201 37.682, -97.35182 37.6818989, -97.3518186 37.6809816, -97.3518181 37.6806307, -97.351818 37.680535)",,,,,,,
122380115,122380110,0,13254989,South Walnut Street,residential,False,True,106.63600000000001,1.7287930858861815,0.007367547925196527,"LINESTRING (-97.3518201 37.682, -97.3518205 37.682103, -97.3518235 37.68287, -97.3518238 37.682959)",,,,,,,
122380115,122543573,0,13278239,Burton Street,residential,False,False,98.456,1.813904399049715,0.0001536192030540805,"LINESTRING (-97.3518201 37.682, -97.3519331 37.6819997, -97.3528824 37.6819971, -97.3529389 37.6819969)",,,,,,,
122380115,122458318,0,13278239,Burton Street,residential,False,True,108.42599999999999,1.8420154211007314,0.0004543206217982381,"LINESTRING (-97.3518201 37.682, -97.3511291 37.6820006, -97.3507095 37.6820009, -97.350588 37.682001)",,,,,,,
122380119,122380115,0,13254989,South Walnut Street,residential,False,True,162.89999999999998,1.6627747538343172,0.006670487172614962,"LINESTRING (-97.351818 37.680535, -97.3518181 37.6806307, -97.3518186 37.6809816, -97.35182 37.6818989, -97.3518201 37.682)",,,,,,,
122380119,122486999,0,13269548,West Maple Street,tertiary,False,False,97.09500000000001,1.6221223666730809,0.0033044471125037314,"LINESTRING (-97.351818 37.680535, -97.3520332 37.6805344, -97.3524151 37.6805334, -97.3526833 37.6805327, -97.3528433 37.6805323, -97.3529213 37.6805321)",4,,,,,,
122380119,122380161,0,13269548,West Maple Street,tertiary,False,True,56.586,1.5470432722467307,0.002183571679155944,"LINESTRING (-97.351818 37.680535, -97.3512378 37.680535, -97.351175 37.680535)",4,,,,,,
122380161,122380164,0,13254993,South Walnut Street,residential,False,False,143.89600000000002,1.7711385886044482,0.00015877615975234987,"LINESTRING (-97.351175 37.680535, -97.3511736 37.6804388, -97.3511686 37.6800979, -97.3511681 37.6800619, -97.3511576 37.6793503, -97.351156 37.679241)",,,,,,,
122380161,122380119,0,13269548,West Maple Street,tertiary,False,False,56.586,1.5470432722467302,0.003110879653336297,"LINESTRING (-97.351175 37.680535, -97.3512378 37.680535, -97.351818 37.680535)",4,,,,,,
122380161,122458321,0,13269548,West Maple Street,tertiary,False,True,52.18600000000001,1.5396717773561177,0.0021204534344968443,"LINESTRING (-97.351175 37.680535, -97.3510644 37.680535, -97.350582 37.680535)",4,,,,,,
122380164,122380168,0,13254993,South Walnut Street,residential,False,False,147.00699999999998,1.2949643781189961,0.0001393830972391397,"LINESTRING (-97.351156 37.679241, -97.3511549 37.6791535, -97.351139 37.677919)",,,,,,,
