u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,ref,bridge,width,tunnel,access,junction,Groups
181085154,195937506,0,38297033,residential,,40,Doctor NicolÃÂÃÂ¡s Repetto,True,False,116.89895366527831,229.09353295708377,3.332963343543513,4.191575709042548e-05,"LINESTRING (-58.4507353 -34.6064867, -58.4505379 -34.6066464, -58.4504776 -34.6067182, -58.4500313 -34.6073562)",,,,,,,C
181085154,3075639858,0,47259047,secondary,6,60,Avenida San MartÃÂÃÂ­n,False,False,139.64637572683998,139.64637572683998,1.566936753588696,0.0050523041376285,"LINESTRING (-58.4507353 -34.6064867, -58.4503031 -34.6065935, -58.4502203 -34.606614, -58.4492739 -34.6068478)",,,,,,,C
181085154,82662318,0,92408038,secondary,6,60,Avenida San MartÃÂÃÂ­n,False,True,32.355713358774786,32.355713358774786,2.227250723383224,0.0044017366577875,"LINESTRING (-58.4507353 -34.6064867, -58.4510169 -34.6064079, -58.45107 -34.606393)",,,,,,,C
181086433,195937274,0,17489687,residential,,40,Coronel Apolinario Figueroa,True,False,122.49173157073255,431.8430248585401,4.270899002966486,0.0019805195225226,"LINESTRING (-58.457926 -34.6117649, -58.4569656 -34.6113042, -58.4567696 -34.6112102)",,,,,,,C
181086461,750691694,0,221694233,residential,,20,Coronel Apolinario Figueroa,True,False,77.64798244872843,390.8740165298549,4.6424439241110855,0.0030886350081955,"LINESTRING (-58.4531756 -34.6095129, -58.4525344 -34.6090556)",,,,,,,C
181086461,195937304,0,533680260,residential,,20,Espinosa,True,False,128.59902635987427,398.2761040076127,6.945370184646079,0.0104228575420548,"LINESTRING (-58.4531756 -34.6095129, -58.453907 -34.6085254)",,,,,,,C
181086463,181100705,0,221688274,residential,,40,PaysandÃÂÃÂº,True,False,153.69342605070645,417.9161620845241,6.688355144790987,0.003943283064611,"LINESTRING (-58.4543793 -34.6101628, -58.4535002 -34.6113405)",,,,,,,C
181086463,750691698,0,221694232,residential,,40,Coronel Apolinario Figueroa,True,False,57.40622930443589,469.4689010630511,7.240875493096358,0.0020008305529645,"LINESTRING (-58.4543793 -34.6101628, -58.4538457 -34.6098914)",,,,,,,C
181086465,2305826861,0,221694231,residential,2,30,Fragata Presidente Sarmiento,False,True,14.361135722479167,14.361135722479167,1.5689737064199478,0.0013490340617274,"LINESTRING (-58.4556784 -34.6106704, -58.455599 -34.6107818)",,,,,,,C
181086465,195937259,0,222045595,residential,2,30,Fragata Presidente Sarmiento,True,False,126.1449107035247,361.94098714232337,4.550322196334856,0.0014465140708867,"LINESTRING (-58.4556784 -34.6106704, -58.4563675 -34.6096879)",,,,,,,C
181095379,199457956,0,47105627,secondary,2,60,Avenida Warnes,True,False,53.78995076288878,808.0229901167195,12.669660474312924,0.0084595441790786,"LINESTRING (-58.4371175 -34.6045574, -58.4372927 -34.6044734, -58.4376254 -34.604314)",,,,,,,C
181095379,199475570,0,"[75873145, 1243278470]",secondary,4,50,Avenida ÃÂÃÂngel Gallardo,True,False,94.22034709207128,777.1734181155374,14.499048449089804,0.0146772422019226,"LINESTRING (-58.4371175 -34.6045574, -58.437898 -34.6049333, -58.4380062 -34.6049851)",,,,,,,C
181095380,199457397,0,22117147,residential,,40,Mahatma Gandhi,True,False,68.35541306596598,363.45215252229787,7.2316226667706225,0.0117166184333597,"LINESTRING (-58.4401062 -34.6031816, -58.4405413 -34.603474, -58.4406839 -34.6035712)",,,,,,,C
181095380,199457413,0,47104788,secondary,,60,Avenida Warnes,True,False,124.69380901676188,276.1150413086166,7.22546475760926,0.007953676619934,"LINESTRING (-58.4401062 -34.6031816, -58.4406275 -34.6029689, -58.4410262 -34.6028063, -58.4413305 -34.6026898)",,,,,,,C
181097751,199854560,0,221688637,residential,,40,Arengreen,True,False,22.30385653719768,704.0747440098328,10.63619474640836,0.0002526912115335,"LINESTRING (-58.4468405 -34.6123802, -58.4466169 -34.6123004)",,,,,,,C
181097751,199457049,0,221690264,residential,,40,Doctor NicolÃÂÃÂ¡s Repetto,True,False,121.74228318405018,366.6455717448409,5.192902849822863,0.000221707187388,"LINESTRING (-58.4468405 -34.6123802, -58.4474275 -34.6113977)",,,,,,,C
181097842,195953344,0,221688630,residential,,40,Arengreen,True,False,84.85933519585168,328.6393470495209,5.078766054092646,0.0002416947937783,"LINESTRING (-58.4535278 -34.6151375, -58.4527019 -34.6147905)",,,,,,,C
181097842,213483206,0,221687944,residential,,40,Nicasio OroÃÂÃÂ±o,True,False,66.04259913055996,552.5903321739222,8.536581242463157,0.0045591794861179,"LINESTRING (-58.4535278 -34.6151375, -58.4532593 -34.6155746, -58.4532215 -34.615674)",,,,,,,C
181098992,3074552826,0,221693242,secondary,4,60,Avenida Gaona,True,False,121.53312358351069,432.801632845762,4.3128576275116535,0.0007442310851911,"LINESTRING (-58.4558986 -34.612456, -58.4569563 -34.6128803, -58.4570939 -34.6129322)",,,,,,,C
181099463,213483421,0,17490689,residential,,30,Fragata Presidente Sarmiento,True,False,118.90927437387244,381.597673807724,4.964342107898563,0.0014481311911449,"LINESTRING (-58.4502348 -34.6188384, -58.4507291 -34.6179751, -58.4507942 -34.6178733)",,,,,,,C
181099463,181100179,0,221687252,secondary,4,60,Avenida Avellaneda,True,False,131.17691431082764,815.3369795836784,11.507568740849106,0.0138059054644434,"LINESTRING (-58.4502348 -34.6188384, -58.4501495 -34.6188022, -58.4489608 -34.6182976)",,,,,,,C
181099463,244886331,0,"[311006342, 311006343, 311006344, 205377906, 951305435]",tertiary,2,"['40', '30']",Puente GerÃÂÃÂ³nimo Saccardi,False,True,436.9468187317527,436.9468187317527,1.7781742115892858,0.0004191575709042,"LINESTRING (-58.4502348 -34.6188384, -58.45018 -34.6189451, -58.4501262 -34.6190497, -58.4500799 -34.6191612, -58.4500471 -34.6192705, -58.4500337 -34.6193422, -58.4500202 -34.619415, -58.4500008 -34.6195707, -58.44997 -34.6198013, -58.4499324 -34.6199972, -58.4498982 -34.6201517, -58.449862 -34.6202869, -58.4498432 -34.6203476, -58.4497979 -34.6204915, -58.4497066 -34.6207361, -58.4495993 -34.6209735, -58.4492458 -34.621731, -58.4492062 -34.6218326, -58.4491968 -34.6218756, -58.4491955 -34.6219181, -58.4491988 -34.6219644, -58.4492149 -34.6220279, -58.4492458 -34.622093, -58.4492907 -34.6221565, -58.4493286 -34.6221912, -58.4493685 -34.6222249, -58.4494355 -34.6222668, -58.449522 -34.6222988, -58.4496018 -34.6223126, -58.4497339 -34.6223225, -58.4497877 -34.6223274)",,yes,,,,,C
181100179,89140174,0,206452718,secondary,4,60,Avenida Avellaneda,True,False,97.992805533336,307.60892222439406,4.839982586459116,0.0157702861267899,"LINESTRING (-58.4489608 -34.6182976, -58.4480209 -34.6178753)",,,,,,,C
181100180,181100179,0,17490735,residential,,40,PaysandÃÂÃÂº,True,False,114.36759504677116,291.23413271095893,4.773701834918877,0.0019643806623465,"LINESTRING (-58.4493839 -34.6173298, -58.4489608 -34.6182976)",,,,,,,C
