u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,width,bridge,junction,tunnel,access,ref,Groups
268128082,496135153,0,"[1217409376, 4449005]",residential,,,Rue Pierre Brossolette,True,False,97.9024256744636,"LINESTRING (2.2922668 48.8953614, 2.2923365 48.8953893, 2.2927084 48.8955383, 2.2931054 48.8956973, 2.2931286 48.8957076, 2.2931801 48.8957305, 2.2934013 48.8958289)",940.198594268266,18.32642725485493,0.0001125028125703,,,,,,,C
268128082,229318501,0,121881945,residential,1,,Rue Marjolin,True,False,117.3050590354744,"LINESTRING (2.2922668 48.8953614, 2.2922989 48.8953065, 2.2929344 48.8944593, 2.2929728 48.8944144)",447.0046331076821,9.646156956983836,8.203466589285582e-05,,,,,,,C
268128945,348769218,0,121881959,residential,,,Rue Rivay,True,False,123.75241582707156,"LINESTRING (2.2885467 48.8954274, 2.2893319 48.894514, 2.2893796 48.8944585)",367.7193378395941,9.869235176700528,0.0002955301022886,,,,,,,C
268128946,268130292,0,342590644,residential,,,Rue Rivay,True,False,106.71140785874324,"LINESTRING (2.2903837 48.8932878, 2.2904202 48.8932464, 2.2910735 48.8924928, 2.2911077 48.8924545)",240.8169380989747,5.252138941422287,0.0026769379193711,,,,,,,C
268128946,243646383,0,380768601,residential,1,,Rue Aristide Briand,True,False,70.26232861863267,"LINESTRING (2.2903837 48.8932878, 2.290328 48.8932638, 2.2897567 48.8930154, 2.2896557 48.8929714, 2.2895819 48.8929394)",175.95058586897744,4.670007665733393,4.339799817068811e-05,,,,,,,C
268129107,348768220,0,380740036,residential,,,Rue Rivay,True,False,25.928882822461613,"LINESTRING (2.2896017 48.8942038, 2.2897746 48.8940002)",219.95896879471763,5.6372504056620105,0.0012583890601924,,,,,,,C
268129174,348768222,0,24668887,residential,,30,Rue ÃÂÃÂdouard Vaillant,True,False,85.80908599142754,"LINESTRING (2.2911273 48.8936153, 2.2910926 48.8936536, 2.2905927 48.8942357, 2.2905484 48.8942866)",292.8568096174929,6.419199737911941,0.0012892503442463,,,,,,,C
268129174,268128946,0,1240786715,residential,,,Rue Aristide Briand,True,False,65.43424447491356,"LINESTRING (2.2911273 48.8936153, 2.2910734 48.8935929, 2.2904489 48.8933161, 2.2903837 48.8932878)",282.0941014828044,5.14080507703801,0.0010240791838083,,,,,,,C
268129656,268128945,0,121881926,residential,,,Rue Camille Pelletan,True,False,65.86904034762111,"LINESTRING (2.2893572 48.8956862, 2.289281 48.8956619, 2.2885467 48.8954274)",425.6027133190446,10.037505514056512,0.0002955301022886,,,,,,,C
268129909,268127170,0,121881938,residential,2,,Rue Jules Guesde,True,False,109.29699752661205,"LINESTRING (2.2927289 48.893077, 2.292752 48.8930459, 2.2933906 48.8922951, 2.2934094 48.8922728, 2.293417 48.8922638, 2.2934557 48.8922181)",774.2598436524484,11.40753132324544,0.0001703158478787,,,,,,,C
268129909,268127171,0,"[190910691, 1217409374]",residential,,,Rue Louis Rouquier,True,False,216.27488152829824,"LINESTRING (2.2927289 48.893077, 2.2927835 48.8930987, 2.2936426 48.8934464, 2.293691 48.893466, 2.2937298 48.8934813, 2.2947038 48.893865, 2.2951133 48.8940128, 2.295193 48.8940132, 2.2952191 48.8940121, 2.2952898 48.8939953)",535.4335773085043,10.037121760074182,0.0005016869743234,,,,,,,C
