u,v,key,osmid,bridge,oneway,lanes,highway,reversed,length,maxspeed,geometry,Cost of returning,Edge Betweenness,ref,name,tunnel,access,width,junction
122992660,122637588,0,161716040,,False,,residential,False,116.054,,"LINESTRING (-118.2589758 34.0138176, -118.2589629 34.0132774, -118.258951 34.0127741)",1.9328749828882357,0.0015974591213492573,,Wadsworth Avenue,,,,
122992663,123009672,0,13354105,,False,,residential,True,159.897,,"LINESTRING (-118.2589438 34.0117974, -118.2606785 34.0117851)",1.684601687753532,0.0020189667247183067,,East 35th Street,,,,
122992663,122992666,0,161716040,,False,,residential,False,92.386,,"LINESTRING (-118.2589438 34.0117974, -118.2589681 34.0109668)",1.860895600286195,0.0010387424711461079,,Wadsworth Avenue,,,,
122992663,1842083032,0,13354105,,False,,residential,False,166.969,,"LINESTRING (-118.2589438 34.0117974, -118.2588964 34.0117973, -118.2573055 34.011795, -118.2571568 34.0118686)",1.4153049274838247,1.8290618759282048e-05,,East 35th Street,,,,
122992663,67666195,0,161716040,,False,,residential,True,95.296,,"LINESTRING (-118.2589438 34.0117974, -118.2589483 34.0125529, -118.2589499 34.0126544)",1.6412086555069045,0.0035692583983346245,,Wadsworth Avenue,,,,
122992666,122931605,0,161716040,,False,,residential,False,99.099,,"LINESTRING (-118.2589681 34.0109668, -118.2589607 34.0100756)",1.6665237264775963,0.0008274887650903486,,Wadsworth Avenue,,,,
122992666,122992663,0,161716040,,False,,residential,True,92.386,,"LINESTRING (-118.2589681 34.0109668, -118.2589438 34.0117974)",1.8608956002861965,0.0012539954121717422,,Wadsworth Avenue,,,,
122992666,348123742,0,"[399182317, 399182311]",,False,,primary,False,225.71599999999998,,"LINESTRING (-118.2589681 34.0109668, -118.2588958 34.0109663, -118.258864 34.0109661, -118.2585037 34.0109638, -118.258188 34.0109657, -118.2571822 34.0109671, -118.257002 34.0109657, -118.2565193 34.0109651)",1.7586795544279794,0.0001248584682506617,,East Martin Luther King Junior Boulevard,,,,
122992666,123353957,0,"[399182312, 399182314, 399182316]",,False,,primary,True,174.389,,"LINESTRING (-118.2589681 34.0109668, -118.259389 34.0109636, -118.2602285 34.0109625, -118.260421 34.0109614, -118.26086 34.0109671)",1.6744519686008617,0.00011809505616925516,,East Martin Luther King Junior Boulevard,,,,
122992669,122742297,0,161716040,,False,,residential,False,95.361,,"LINESTRING (-118.2589692 34.0092165, -118.2589716 34.0083589)",1.6884461042329941,0.0006490523106991534,,Wadsworth Avenue,,,,
122992669,122931605,0,161716040,,False,,residential,True,95.531,,"LINESTRING (-118.2589692 34.0092165, -118.2589607 34.0100756)",1.7059509055988147,0.0011935363893918647,,Wadsworth Avenue,,,,
122992669,123353970,0,603942754,,False,,tertiary,True,201.856,,"LINESTRING (-118.2589692 34.0092165, -118.261159 34.0091972)",1.6933967510946795,0.0010552687215363273,,East 41st Street,,,,
122992669,122594874,0,603942754,,False,,tertiary,False,226.32799999999997,,"LINESTRING (-118.2589692 34.0092165, -118.2588883 34.0092167, -118.2571848 34.009222, -118.2565138 34.009224)",1.7918117151816637,0.0013155130559730575,,East 41st Street,,,,
122992671,122742297,0,161716040,,False,,residential,True,91.796,,"LINESTRING (-118.2589622 34.0075334, -118.2589716 34.0083589)",1.6514242667099515,0.00047884957536358343,,Wadsworth Avenue,,,,
122992671,122594879,0,165884168,,False,,residential,False,225.997,,"LINESTRING (-118.2589622 34.0075334, -118.2588714 34.0075332, -118.2583245 34.007532, -118.257173 34.007542, -118.257078 34.0075418, -118.2566367 34.0075437, -118.2565107 34.0075377)",1.5487739814754593,4.0933346162251786e-05,,East 42nd Street,,,,
122992671,1774095090,0,165884168,,False,,residential,True,178.156,,"LINESTRING (-118.2589622 34.0075334, -118.2592609 34.0075313, -118.2608949 34.0075195)",1.5596711339043534,0.00018814048042103946,,East 42nd Street,,,,
122993577,123590577,0,603942752,,False,2,tertiary,False,48.963,,"LINESTRING (-118.2484674 34.0127998, -118.2487002 34.012404)",1.5241050061814962,0.006340140109668433,,Compton Avenue,,,,
122993577,122993582,0,13351094,,False,,residential,True,254.456,,"LINESTRING (-118.2484674 34.0127998, -118.2478089 34.0126177, -118.2460693 34.0121493, -118.2460035 34.0121337, -118.2458413 34.0120944)",1.5302187209464757,0.0001569699725676006,,East 32nd Street,,,,
122993577,123590567,0,607540286,,False,2,tertiary,True,277.976,,"LINESTRING (-118.2484674 34.0127998, -118.2484272 34.0128698, -118.2482645 34.0131562, -118.2478636 34.0138605, -118.247606 34.014313, -118.2471402 34.015044)",1.6914389883283607,0.005049563459978127,,Compton Avenue,,,,
122993582,122920968,0,13351094,,False,,residential,True,122.968,,"LINESTRING (-118.2458413 34.0120944, -118.244597 34.0116955)",1.5258055703813254,0.00016420388288075716,,East 32nd Street,,,,
122993582,122996129,0,13430977,,False,,residential,True,93.55,,"LINESTRING (-118.2458413 34.0120944, -118.2454299 34.0128635)",1.514963749357183,0.0016148087436450393,,Nevin Avenue,,,,
122993582,122993577,0,13351094,,False,,residential,False,254.45600000000002,,"LINESTRING (-118.2458413 34.0120944, -118.2460035 34.0121337, -118.2460693 34.0121493, -118.2478089 34.0126177, -118.2484674 34.0127998)",1.5302187209464748,0.00015755809535728812,,East 32nd Street,,,,
122993585,123780529,0,161716752,,True,1,secondary,False,93.304,,"LINESTRING (-118.2432711 34.0112764, -118.2432745 34.0104373)",4.530438721041237,0.001553761598075474,,Long Beach Avenue,,,,
122993585,122920968,0,607540285,,False,,residential,True,130.795,,"LINESTRING (-118.2432711 34.0112764, -118.2437782 34.0114377, -118.244597 34.0116955)",1.3915737670921862,0.0016492139268417594,,East 32nd Street,,,,
122993600,122723274,0,13366142,,False,,residential,True,272.051,,"LINESTRING (-118.2573719 34.0148332, -118.2580243 34.0151685, -118.2590259 34.0156834, -118.2598804 34.0161226)",1.495427047825771,0.0006055900365412452,,East 31st Street,,,,
122993600,24043578,0,161716043,,False,,residential,False,78.603,,"LINESTRING (-118.2573719 34.0148332, -118.2571855 34.0148458, -118.2570774 34.0148437, -118.256638 34.0148555, -118.25652 34.0148582)",1.5372867071996341,0.010317496911767232,,East 32nd Street,,,,
122993600,122992658,0,161716043,,False,,residential,True,147.602,,"LINESTRING (-118.2573719 34.0148332, -118.2583917 34.0147939, -118.2589716 34.0147715)",1.5235502719169836,0.006673899792816104,,East 32nd Street,,,,
122993638,33078886,0,398523882,,False,4,secondary,True,27.864,,"LINESTRING (-118.2716266 34.0202522, -118.2717673 34.0200304)",1.5300833973101462,0.0040238185024841135,,South Main Street,,,,
122993638,122993641,0,13351103,,False,,residential,False,338.146,,"LINESTRING (-118.2716266 34.0202522, -118.2708745 34.0199199, -118.2702093 34.0196274, -118.268388 34.0188231)",1.7386222019992286,0.0007214502261096877,,East 32nd Street,,,,
122993638,123076780,0,"[398523880, 398523899, 398523903]",,False,"['5', '4']",secondary,False,86.268,,"LINESTRING (-118.2716266 34.0202522, -118.27145 34.0205223, -118.2713537 34.0206695, -118.2711806 34.0209343)",1.4976358155627705,0.003791921686510322,,South Main Street,,,,
122993641,123015383,0,181418910,,False,2,tertiary,False,94.718,,"LINESTRING (-118.268388 34.0188231, -118.268862 34.0180673)",1.6712613186295295,0.0018640551819146126,,Maple Avenue,,,,
122993641,123015380,0,181418910,,False,2,tertiary,True,94.92,,"LINESTRING (-118.268388 34.0188231, -118.2679022 34.0195758)",1.7938205521390038,0.001969564410384555,,Maple Avenue,,,,
122993641,122993638,0,13351103,,False,,residential,True,338.14599999999996,,"LINESTRING (-118.268388 34.0188231, -118.2702093 34.0196274, -118.2708745 34.0199199, -118.2716266 34.0202522)",1.7386222019992272,0.0005525413609114303,,East 32nd Street,,,,
122993641,122993646,0,161716081,,False,,residential,False,227.219,,"LINESTRING (-118.268388 34.0188231, -118.2680453 34.018667, -118.2679341 34.018617, -118.2662229 34.0178458)",1.6694863216566058,0.0007669121177525334,,East 32nd Street,,,,
122993646,123715918,0,161716030,,False,,residential,False,95.98,,"LINESTRING (-118.2662229 34.0178458, -118.2664741 34.0174467, -118.2667057 34.017081)",1.7391898733720563,0.0008774792022137883,,Trinity Street,,,,
122993646,123076790,0,161716030,,False,,residential,True,93.017,,"LINESTRING (-118.2662229 34.0178458, -118.2659805 34.0182131, -118.2657399 34.0185803)",1.810066011311503,0.0012986927441879942,,Trinity Street,,,,
122993646,1790748072,0,161716081,,False,,residential,False,206.95600000000002,,"LINESTRING (-118.2662229 34.0178458, -118.2645926 34.017086, -118.2642659 34.0169332)",1.6499117815272242,0.000742799083375345,,East 32nd Street,,,,
122993646,122993641,0,161716081,,False,,residential,True,227.219,,"LINESTRING (-118.2662229 34.0178458, -118.2679341 34.018617, -118.2680453 34.018667, -118.268388 34.0188231)",1.6694863216566043,0.0005932982702367759,,East 32nd Street,,,,
122993666,122723278,0,161716077,,False,,residential,False,207.724,,"LINESTRING (-118.2623756 34.0162526, -118.2604015 34.0153513)",1.6717079167578943,0.0016845601065019799,,East 32nd Street,,,,
122993666,123652277,0,13446256,,False,,residential,False,104.348,,"LINESTRING (-118.2623756 34.0162526, -118.2626371 34.0158396, -118.2629018 34.0154217)",1.84914019902157,0.0010131003175157317,,Stanford Avenue,,,,
122993666,123076815,0,13446256,,False,,residential,True,104.515,,"LINESTRING (-118.2623756 34.0162526, -118.2620954 34.0166776, -118.2618318 34.0170774)",1.6433953932269887,0.0016071043351001326,,Stanford Avenue,,,,
